ssid,channel,source,signal_strength,floorid,timestamp,roomid,duplication_count
2,2462,cap1,-81,78,2023-12-13 16:21:03,214,6
1,2462,cap1,-79,78,2023-12-13 16:21:03,214,6
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-81,78,2023-12-13 16:21:03,214,6
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
1,2462,cap1,-79,78,2023-12-13 16:21:03,214,6
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
2,2462,cap1,-81,78,2023-12-13 16:21:03,214,6
1,2462,cap1,-79,78,2023-12-13 16:21:03,214,6
1,2462,cap2,-48,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-81,78,2023-12-13 16:21:03,214,6
1,2462,cap1,-79,78,2023-12-13 16:21:03,214,6
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-81,78,2023-12-13 16:21:03,214,6
1,2462,cap2,-48,78,2023-12-13 16:21:03,214,7
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
1,2462,cap1,-79,78,2023-12-13 16:21:03,214,6
1,2462,cap2,-48,78,2023-12-13 16:21:03,214,7
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-44,69,2023-12-13 16:21:03,214,6
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-44,69,2023-12-13 16:21:03,214,6
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-44,69,2023-12-13 16:21:03,214,6
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
2,2462,cap1,-77,69,2023-12-13 16:21:03,214,6
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
2,2462,cap1,-77,69,2023-12-13 16:21:03,214,6
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
1,2457,cap2,-53,69,2023-12-13 16:21:03,214,7
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2457,cap2,-53,69,2023-12-13 16:21:03,214,7
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2457,cap2,-53,69,2023-12-13 16:21:03,214,7
1,2457,cap2,-53,69,2023-12-13 16:21:03,214,7
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2457,cap2,-53,69,2023-12-13 16:21:03,214,7
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
1,2457,cap2,-53,69,2023-12-13 16:21:03,214,7
1,2457,cap2,-53,69,2023-12-13 16:21:03,214,7
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
2,2452,cap1,-80,69,2023-12-13 16:21:03,214,11
2,2462,cap2,-44,69,2023-12-13 16:21:03,214,6
2,2462,cap2,-44,69,2023-12-13 16:21:03,214,6
2,2462,cap2,-44,69,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,69,2023-12-13 16:21:03,214,6
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
2,2462,cap1,-77,69,2023-12-13 16:21:03,214,6
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
2,2462,cap1,-77,69,2023-12-13 16:21:03,214,6
1,2462,cap1,-75,69,2023-12-13 16:21:03,214,9
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
1,2462,cap2,-43,69,2023-12-13 16:21:03,214,9
2,2462,cap2,-59,69,2023-12-13 16:21:03,214,9
1,2462,cap1,-76,69,2023-12-13 16:21:03,214,12
2,2462,cap1,-77,69,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
2,2462,cap1,-77,60,2023-12-13 16:21:03,214,11
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
1,2457,cap2,-51,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
1,2457,cap2,-51,60,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
2,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
2,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
