mac_address,ssid,channel,signal_strength,source,timestamp
56:3A:A2:F8:0C:63,C3,2447,-62,cap1,2023-11-15 18:34:33
FA:C0:A6:71:FA:ED,AP4,2437,-59,cap1,2023-11-15 18:34:33
FE:47:AD:D7:13:E2,C1,2442,-68,cap1,2023-11-15 18:34:33
