Unique signal strength of Vivo,Average Signal Strength
-88.0,
-85.0,
-83.0,-86.22222222222223
-81.0,-88.36363636363636
-78.0,-80.5
-82.0,-88.0
-80.0,-87.25
-86.0,-88.0
-75.0,
-84.0,-87.0
-77.0,-88.0
-76.0,
-87.0,
-79.0,
