Unique signal strength of Vivo,Average Signal Strength
-63.0,-86.5
-75.0,-78.0
-67.0,-76.75
-68.0,-80.0
-69.0,-77.25
-66.0,-77.0
-70.0,
-64.0,-78.25
-67.5,
-71.0,-85.0
-66.5,-81.0
-65.0,-81.5
-60.0,-63.0
-62.0,-77.0
-61.0,-70.0
