Unique signal strength of Vivo,Average Signal Strength
-80.0,-77.0
-76.0,-78.16666666666667
-72.0,-77.3076923076923
-73.0,-78.14634146341463
-87.0,
-74.0,-77.60606060606061
-67.0,
-71.0,-77.0
-77.0,-76.5
-75.0,-77.89473684210526
-78.0,-76.0
-70.0,-76.75
