Unique signal strength of Vivo,Average Signal Strength
-85.0,
-86.0,-81.4
-80.0,-78.2
-81.0,-79.61904761904762
-84.0,-79.5
-82.0,-80.35714285714286
-79.0,-77.63636363636364
-83.0,-80.5
-76.0,-76.55555555555556
-78.0,-79.6923076923077
-77.0,-79.38888888888889
-75.0,-73.54545454545455
-71.0,-78.0
-80.5,-79.0
-73.0,-73.0
-74.0,-74.4
-87.0,-79.0
