Unique signal strength of Vivo,Average Signal Strength
-63.0,-53.5
-75.0,
-67.0,-54.5
-68.0,-55.0
-69.0,-51.0
-66.0,-55.2
-70.0,
-64.0,-55.54545454545455
-67.5,
-71.0,
-66.5,-54.0
-65.0,-55.0
-60.0,
-62.0,-52.5
-61.0,-54.0
