Unique signal strength of Vivo,Average Signal Strength
-86.0,-62.5
-68.0,
-70.0,
-78.0,
-75.0,
-76.0,
-85.0,
-79.0,
-90.0,
-83.0,
-80.0,-61.0
-74.0,
-81.0,
-77.0,-54.0
-91.0,
-84.0,
-94.0,
-82.0,
-99.0,
-72.0,
