Unique signal strength of Vivo,Average Signal Strength
-79.0,-73.0
-71.0,-72.0
-68.0,-74.66666666666667
-74.0,-74.53846153846153
-67.0,
-72.0,-75.16666666666667
-73.0,-75.0
-78.0,-74.06666666666666
-75.0,-72.25
-80.0,-80.0
-81.0,-76.0
-76.0,-72.0
-7.0,
-82.0,
-73.5,
-77.0,-80.25
-70.0,-76.11111111111111
-83.0,
-86.0,
-69.0,-70.6
-66.0,-71.0
