Unique signal strength of Vivo,Average Signal Strength
-85.0,-83.0
-86.0,
-80.0,-84.92857142857143
-81.0,-87.88888888888889
-84.0,-85.0
-82.0,-87.0
-79.0,-85.66666666666667
-83.0,-83.5
-76.0,-83.75
-78.0,-84.6
-77.0,-88.28571428571429
-75.0,-88.85714285714286
-71.0,
-80.5,
-73.0,
-74.0,
-87.0,
