Unique signal strength of Vivo,Average Signal Strength
-88.0,-83.0
-85.0,-88.0
-83.0,-88.22222222222223
-81.0,-84.625
-78.0,-82.16666666666667
-82.0,-85.0909090909091
-80.0,-83.5
-86.0,-85.5
-75.0,
-84.0,-86.46153846153847
-77.0,-83.25
-76.0,-80.0
-87.0,
-79.0,-84.75
