Unique signal strength of Vivo,Average Signal Strength
-61.0,-59.5
-64.0,-60.1578947368421
-58.0,-58.5
-59.0,-61.666666666666664
-63.0,-59.77777777777778
-66.0,-58.75
-65.0,-59.72727272727273
-62.0,-59.666666666666664
-68.0,
-60.0,-57.75
-57.0,-60.0
