ssid,channel,source,signal_strength,floorid,roomid
1,2462,cap2,-58,55,214
1,2462,cap2,-55,55,214
1,0,cap3,100,55,214
1,2457,cap1,-74,58,214
1,2457,cap1,-73,58,214
1,2457,cap2,-57,58,214
1,2462,cap1,-77,58,214
1,2462,cap1,-75,58,214
1,2462,cap1,-72,58,214
1,2462,cap1,-70,58,214
1,2462,cap2,-62,58,214
1,2462,cap2,-60,58,214
1,2462,cap2,-57,58,214
1,2462,cap2,-55,58,214
1,0,cap3,100,58,214
1,2447,cap2,-59,61,214
1,2457,cap2,-47,61,214
1,2462,cap1,-90,61,214
1,2462,cap1,-88,61,214
1,2462,cap1,-80,61,214
1,2462,cap1,-79,61,214
1,2462,cap1,-78,61,214
1,2462,cap1,-69,61,214
1,2462,cap2,-54,61,214
1,2462,cap2,-53,61,214
1,2462,cap2,-52,61,214
1,2462,cap2,-49,61,214
1,2462,cap2,-47,61,214
1,2462,cap2,-44,61,214
1,2462,cap2,-43,61,214
1,2462,cap3,-96,61,214
1,2462,cap3,-95,61,214
1,2462,cap3,-91,61,214
1,2457,cap2,-70,64,214
1,2457,cap2,-69,64,214
1,2457,cap2,-61,64,214
1,2457,cap2,-59,64,214
1,2462,cap1,-85,64,214
1,2462,cap1,-84,64,214
1,2462,cap1,-78,64,214
1,2462,cap2,-65,64,214
1,0,cap3,100,64,214
1,2452,cap1,-80,67,214
1,2452,cap1,-78,67,214
1,2452,cap2,-62,67,214
1,2457,cap1,-73,67,214
1,2457,cap2,-57,67,214
1,2462,cap1,-84,67,214
1,2462,cap1,-81,67,214
1,2462,cap1,-80,67,214
1,2462,cap1,-79,67,214
1,2462,cap1,-77,67,214
1,2462,cap1,-72,67,214
1,2462,cap2,-57,67,214
1,2462,cap2,-56,67,214
1,2462,cap2,-52,67,214
1,2462,cap2,-51,67,214
1,0,cap3,100,67,214
1,2452,cap2,-56,70,214
1,2457,cap2,-53,70,214
1,2457,cap2,-48,70,214
1,2462,cap1,-83,70,214
1,2462,cap1,-77,70,214
1,2462,cap1,-76,70,214
1,2462,cap1,-74,70,214
1,2462,cap2,-50,70,214
1,2462,cap2,-49,70,214
1,2462,cap2,-46,70,214
1,2462,cap2,-41,70,214
1,2462,cap3,-99,70,214
1,2462,cap3,-89,70,214
1,2452,cap2,-67,73,214
1,2457,cap2,-74,73,214
1,2462,cap1,-86,73,214
1,2462,cap1,-83,73,214
1,2462,cap2,-74,73,214
1,2462,cap2,-73,73,214
1,0,cap3,100,73,214
1,2452,cap2,-66,76,214
1,2457,cap1,-73,76,214
1,2457,cap1,-71,76,214
1,2462,cap1,-82,76,214
1,2462,cap1,-74,76,214
1,2462,cap1,-71,76,214
1,2462,cap1,-69,76,214
1,2462,cap1,-68,76,214
1,2462,cap2,-75,76,214
1,2462,cap2,-62,76,214
1,2462,cap2,-60,76,214
1,2462,cap2,-55,76,214
1,2462,cap2,-53,76,214
1,0,cap3,100,76,214
1,2462,cap1,-79,79,214
1,2462,cap1,-76,79,214
1,2462,cap1,-75,79,214
1,2462,cap1,-74,79,214
1,2462,cap1,-71,79,214
1,2462,cap2,-40,79,214
1,2462,cap2,-36,79,214
1,2462,cap2,-35,79,214
1,2462,cap2,-34,79,214
1,2462,cap3,-101,79,214
1,2462,cap3,-99,79,214
1,2462,cap3,-96,79,214
1,2462,cap3,-90,79,214
1,2432,cap2,-68,103,213
1,2437,cap1,-64,103,213
1,2437,cap2,-78,103,213
1,2442,cap1,-72,103,213
1,2442,cap1,-62,103,213
1,2442,cap2,-70,103,213
1,2442,cap2,-67,103,213
1,2447,cap1,-66,103,213
1,0,cap3,100,103,213
1,2432,cap2,-70,106,213
1,2437,cap1,-68,106,213
1,2437,cap2,-73,106,213
1,2437,cap2,-69,106,213
1,2437,cap3,-94,106,213
1,2437,cap3,-92,106,213
1,2437,cap3,-91,106,213
1,2437,cap3,-89,106,213
1,2442,cap2,-75,106,213
1,2442,cap2,-72,106,213
1,2447,cap1,-63,106,213
1,2447,cap2,-74,106,213
1,2437,cap1,-62,109,213
1,2437,cap1,-52,109,213
1,2437,cap2,-56,109,213
1,2437,cap2,-53,109,213
1,2437,cap3,-92,109,213
1,2437,cap3,-91,109,213
1,2437,cap3,-90,109,213
1,2442,cap1,-57,109,213
1,2442,cap1,-56,109,213
1,2442,cap1,-52,109,213
1,2442,cap2,-50,109,213
1,2442,cap3,-88,109,213
1,2452,cap2,-69,109,213
1,2432,cap1,-57,112,213
1,2437,cap1,-64,112,213
1,2437,cap2,-66,112,213
1,2437,cap3,-93,112,213
1,2437,cap3,-91,112,213
1,2442,cap2,-68,112,213
1,2447,cap2,-70,112,213
1,2447,cap2,-68,112,213
1,2452,cap1,-73,112,213
1,2437,cap2,-63,115,213
1,2437,cap3,-92,115,213
1,2437,cap3,-91,115,213
1,2437,cap3,-90,115,213
1,2442,cap1,-53,115,213
1,2442,cap2,-65,115,213
1,2447,cap1,-59,115,213
1,2447,cap2,-68,115,213
1,2452,cap1,-75,115,213
1,2452,cap1,-73,115,213
1,2452,cap1,-71,115,213
1,2422,cap2,-74,118,213
1,2432,cap3,-90,118,213
1,2437,cap2,-56,118,213
1,2437,cap3,-90,118,213
1,2437,cap3,-89,118,213
1,2442,cap1,-58,118,213
1,2442,cap2,-54,118,213
1,2442,cap2,-53,118,213
1,2442,cap2,-52,118,213
1,2447,cap1,-62,118,213
1,2427,cap2,-74,121,213
1,2427,cap2,-72,121,213
1,2432,cap2,-72,121,213
1,2432,cap2,-65,121,213
1,2437,cap1,-63,121,213
1,2442,cap1,-66,121,213
1,2442,cap1,-60,121,213
1,2442,cap2,-73,121,213
1,2442,cap2,-70,121,213
1,2447,cap1,-65,121,213
1,0,cap3,100,121,213
1,2427,cap2,-68,124,213
1,2437,cap1,-66,124,213
1,2437,cap1,-65,124,213
1,2437,cap2,-65,124,213
1,2437,cap3,-91,124,213
1,2437,cap3,-88,124,213
1,2437,cap3,-86,124,213
1,2437,cap3,-84,124,213
1,2442,cap1,-64,124,213
1,2442,cap1,-63,124,213
1,2447,cap1,-68,124,213
1,2447,cap2,-68,124,213
1,2447,cap2,-65,124,213
1,2427,cap2,-67,127,213
1,2432,cap2,-61,127,213
1,2437,cap3,-89,127,213
1,2437,cap3,-88,127,213
1,2442,cap1,-66,127,213
1,2442,cap1,-53,127,213
1,2442,cap2,-57,127,213
1,2447,cap1,-57,127,213
1,2447,cap1,-51,127,213
1,2452,cap1,-66,127,213
1,2432,cap3,-89,130,213
1,2432,cap3,-85,130,213
1,2437,cap2,-55,130,213
1,2437,cap2,-54,130,213
1,2437,cap3,-89,130,213
1,2437,cap3,-87,130,213
1,2442,cap1,-50,130,213
1,2442,cap3,-88,130,213
1,2452,cap1,-67,130,213
1,2452,cap1,-60,130,213
1,2452,cap2,-71,130,213
1,2432,cap1,-63,133,213
1,2432,cap2,-72,133,213
1,2437,cap3,-93,133,213
1,2437,cap3,-89,133,213
1,2437,cap3,-88,133,213
1,2442,cap1,-64,133,213
1,2442,cap1,-63,133,213
1,2442,cap2,-68,133,213
1,2442,cap2,-67,133,213
1,2447,cap2,-70,133,213
1,2447,cap2,-69,133,213
1,2427,cap1,-69,136,213
1,2427,cap2,-67,136,213
1,2432,cap1,-67,136,213
1,2432,cap1,-63,136,213
1,2432,cap1,-62,136,213
1,2437,cap2,-66,136,213
1,2437,cap2,-65,136,213
1,2437,cap3,-90,136,213
1,2442,cap1,-61,136,213
1,2442,cap1,-60,136,213
1,2442,cap2,-65,136,213
1,2442,cap2,-64,136,213
1,2447,cap2,-70,136,213
1,2437,cap2,-55,139,213
1,2437,cap3,-88,139,213
1,2437,cap3,-87,139,213
1,2442,cap2,-54,139,213
1,2442,cap2,-53,139,213
1,2447,cap2,-56,139,213
1,2452,cap1,-68,139,213
1,2452,cap1,-65,139,213
1,2452,cap1,-63,139,213
1,2452,cap1,-61,139,213
1,2432,cap2,-72,142,213
1,2432,cap3,-88,142,213
1,2437,cap2,-68,142,213
1,2442,cap1,-62,142,213
1,2442,cap1,-61,142,213
1,2442,cap1,-60,142,213
1,2442,cap1,-59,142,213
1,2442,cap2,-69,142,213
1,2442,cap2,-68,142,213
1,2442,cap2,-67,142,213
1,2442,cap2,-66,142,213
1,2427,cap1,-66,145,213
1,2432,cap1,-62,145,213
1,2432,cap2,-68,145,213
1,2432,cap2,-67,145,213
1,2437,cap1,-64,145,213
1,2437,cap1,-60,145,213
1,2437,cap1,-57,145,213
1,2437,cap2,-73,145,213
1,2437,cap3,-95,145,213
1,2442,cap1,-57,145,213
1,2442,cap2,-70,145,213
1,2442,cap3,-87,145,213
1,2442,cap3,-85,145,213
