ssid,latitude,longitude,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2,7.065785182999999,125.59647220000001,153,2462,2462,2462,-46,-46,-46
2,7.06575756,125.5964111,107,2462,2462,2462,-51,-51,-51
1,7.0657427539999995,125.5964558,103,2437,2437,2437,-73,-73,-73
1,7.065765712,125.59638980000001,109,2437,2437,2437,-50,-50,-50
1,7.06577753,125.5964949,151,2437,2437,2437,-85,-85,-85
1,7.065780107999999,125.5964311,136,2437,2437,2437,-60,-60,-60
1,7.065804644,125.59639080000001,150,2437,2437,2437,-68,-68,-68
1,7.065820947000001,125.59646200000002,184,2447,2447,2447,-47,-47,-47
1,7.065823029,125.5963977,170,2442,2442,2442,-63,-63,-63
2,7.065813792,125.59648359999998,182,2442,2442,2442,-58,-58,-58
2,7.065820947000001,125.59646200000002,184,2442,2442,2442,-64,-64,-64
2,7.065778692,125.59640700000001,128,2462,2462,2462,-45,-45,-45
2,7.065746917,125.5964692,112,2462,2462,2462,-72,-72,-72
2,7.06577753,125.5964949,151,2462,2462,2462,-52,-52,-52
2,7.065814044,125.5963943,160,2462,2462,2462,-61,-61,-61
1,7.065757898999999,125.5964619,123,2442,2442,2442,-65,-65,-65
1,7.065775528,125.5964429,135,2447,2447,2447,-55,-55,-55
1,7.0657778989999995,125.59638079999999,120,2447,2447,2447,-56,-56,-56
1,7.0658004,125.59640259999999,149,2442,2442,2442,-43,-43,-43
1,7.065813792,125.59648359999998,182,2437,2437,2437,-61,-61,-61
1,7.065825778,125.59641289999999,179,2452,2452,2452,-61,-61,-61
1,7.065841076,125.596433,188,2437,2437,2437,-86,-86,-86
2,7.065798827,125.59649089999999,172,2437,2437,2437,-60,-60,-60
1,7.06576122,125.596401,108,2437,2437,2437,-82,-82,-82
1,7.065768042,125.5964915,141,2437,2437,2437,-61,-61,-61
1,7.065782934,125.596396,129,2442,2442,2442,-46,-46,-46
1,7.065766551,125.596465,133,2432,2432,2432,-63,-63,-63
1,7.06577753,125.5964949,151,2442,2442,2442,-48,-48,-48
1,7.065793835,125.5964758,163,2437,2437,2437,-64,-64,-64
1,7.065818455,125.5964094,169,2442,2442,2442,-76,-76,-76
1,7.065830762999999,125.5964283,187,2437,2437,2437,-58,-58,-58
2,7.065786348,125.59649840000002,161,2457,2457,2457,-63,-63,-63
