ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2,301,111,0,0,2417,[100],[100],"[-67, -65, -61]"
2,301,111,0,0,2427,[100],[100],"[-82, -80, -78]"
2,304,111,0,0,2412,[100],[100],"[-67, -66, -61]"
2,304,111,0,0,2417,[100],[100],"[-68, -64]"
2,304,111,0,0,2427,[100],[100],"[-79, -76, -75, -72]"
2,307,111,0,0,2412,[100],[100],"[-58, -57]"
2,307,111,0,0,2417,[100],[100],"[-57, -56]"
2,307,111,0,0,2422,[100],[100],[-62]
2,307,111,0,0,2427,[100],[100],"[-74, -71, -69, -68]"
2,310,111,0,0,2412,[100],[100],"[-67, -64]"
2,310,111,0,0,2417,[100],[100],"[-66, -58]"
2,310,111,0,0,2422,[100],[100],[-67]
2,310,111,0,0,2427,[100],[100],"[-80, -78, -74]"
2,313,111,0,0,2412,[100],[100],"[-77, -76, -74]"
2,313,111,0,0,2417,[100],[100],"[-74, -70, -68]"
2,313,111,0,0,2422,[100],[100],"[-79, -78, -75, -74, -73, -72]"
2,316,111,2417,2412,2412,"[-73, -72, -71, -70]",[-95],"[-53, -51]"
2,316,111,2417,2412,2417,"[-73, -72, -71, -70]",[-95],"[-54, -51, -49, -48, -46]"
2,316,111,2417,2412,2427,"[-73, -72, -71, -70]",[-95],"[-62, -61, -60, -59]"
2,316,111,2422,2412,2412,"[-79, -77, -76, -75]",[-95],"[-53, -51]"
2,316,111,2422,2412,2417,"[-79, -77, -76, -75]",[-95],"[-54, -51, -49, -48, -46]"
2,316,111,2422,2412,2427,"[-79, -77, -76, -75]",[-95],"[-62, -61, -60, -59]"
2,319,111,0,0,2412,[100],[100],"[-54, -53]"
2,319,111,0,0,2427,[100],[100],"[-89, -85, -80, -79, -77, -75, -66, -64]"
2,322,111,0,0,2412,[100],[100],"[-64, -63]"
2,322,111,0,0,2417,[100],[100],"[-66, -65, -63, -61, -60]"
2,322,111,0,0,2422,[100],[100],"[-77, -70, -63, -62]"
2,325,111,0,0,2412,[100],[100],[-61]
2,325,111,0,0,2417,[100],[100],"[-62, -58, -52]"
2,325,111,0,0,2422,[100],[100],"[-63, -62, -60]"
2,325,111,0,0,2427,[100],[100],"[-79, -75, -74]"
2,328,111,2417,0,2417,"[-90, -82, -81, -78]",[100],"[-54, -52, -46]"
2,328,111,2417,0,2427,"[-90, -82, -81, -78]",[100],"[-70, -68, -62, -60]"
2,331,111,2417,0,2412,[-83],[100],"[-59, -55, -54]"
2,331,111,2417,0,2417,[-83],[100],"[-55, -53]"
2,331,111,2417,0,2422,[-83],[100],[-61]
2,331,111,2417,0,2427,[-83],[100],"[-70, -67, -64, -62, -61]"
