channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2462.0,2462.0,0.0,-84.0,-60.0,0.0
2462.0,2457.0,0.0,-88.0,-62.0,0.0
2457.0,2457.0,0.0,-85.0,-54.0,0.0
2452.0,2457.0,0.0,-80.0,-55.0,0.0
2457.0,2462.0,0.0,-89.0,-71.0,0.0
2457.0,2462.0,0.0,-78.0,-53.0,0.0
2462.0,2462.0,0.0,-89.0,-62.0,0.0
0.0,2457.0,0.0,0.0,-68.0,0.0
2462.0,2457.0,0.0,-79.0,-67.0,0.0
0.0,2457.0,0.0,0.0,-71.0,0.0
2462.0,2457.0,0.0,-79.0,-68.0,0.0
2462.0,2462.0,0.0,-81.0,-64.0,0.0
2462.0,2462.0,0.0,-87.0,-62.0,0.0
2457.0,2462.0,0.0,-77.0,-55.0,0.0
2462.0,2462.0,0.0,-87.0,-52.0,0.0
0.0,2457.0,0.0,0.0,-65.0,0.0
2462.0,2457.0,0.0,-84.0,-66.0,0.0
2412.0,2417.0,0.0,-82.0,-67.0,0.0
2462.0,2452.0,0.0,-78.0,-61.0,0.0
2462.0,2452.0,0.0,-70.0,-60.0,0.0
2462.0,2452.0,0.0,-87.0,-54.0,0.0
2462.0,2462.0,0.0,-83.0,-61.0,0.0
2457.0,2462.0,0.0,-76.0,-55.0,0.0
2462.0,2462.0,0.0,-93.0,-53.0,0.0
2462.0,2457.0,0.0,-85.0,-73.0,0.0
2462.0,2462.0,0.0,-80.0,-66.0,0.0
2462.0,2457.0,0.0,-87.0,-61.0,0.0
0.0,2462.0,0.0,0.0,-60.0,0.0
2462.0,2462.0,0.0,-85.0,-54.0,0.0
2462.0,2462.0,0.0,-78.0,-51.0,0.0
2462.0,2462.0,0.0,-89.0,-62.0,0.0
2457.0,2462.0,0.0,-84.0,-67.0,0.0
2457.0,2457.0,0.0,-79.0,-50.0,0.0
2462.0,2457.0,0.0,-84.0,-60.0,0.0
2462.0,2462.0,0.0,-82.0,-60.0,0.0
2462.0,2457.0,0.0,-90.0,-65.0,0.0
2462.0,2462.0,0.0,-79.0,-60.0,0.0
2462.0,2457.0,0.0,-81.0,-55.0,0.0
2462.0,2462.0,0.0,-84.0,-65.0,0.0
2457.0,2462.0,0.0,-79.0,-70.0,0.0
2452.0,2462.0,0.0,-78.0,-61.0,0.0
2462.0,2462.0,0.0,-88.0,-57.0,0.0
2462.0,2462.0,0.0,-84.0,-70.0,0.0
2462.0,2452.0,0.0,-90.0,-63.0,0.0
2462.0,2462.0,0.0,-76.0,-67.0,0.0
2462.0,2462.0,0.0,-82.0,-60.0,0.0
2462.0,2457.0,0.0,-88.0,-51.0,0.0
2462.0,2457.0,0.0,-85.0,-58.0,0.0
2457.0,2457.0,0.0,-78.0,-66.0,0.0
2462.0,2457.0,0.0,-88.0,-58.0,0.0
2462.0,2457.0,0.0,-90.0,-69.0,0.0
2462.0,2457.0,0.0,-85.0,-70.0,0.0
2462.0,2457.0,0.0,-88.0,-64.0,0.0
2412.0,2417.0,0.0,-84.0,-68.0,0.0
2412.0,2412.0,2412.0,-82.0,-64.0,-94.0
2412.0,2417.0,0.0,-81.0,-56.0,0.0
2417.0,2417.0,0.0,-88.0,-64.0,0.0
2457.0,2462.0,0.0,-80.0,-56.0,0.0
2462.0,2462.0,0.0,-81.0,-54.0,0.0
2462.0,2462.0,0.0,-88.0,-57.0,0.0
2462.0,2462.0,0.0,-82.0,-63.0,0.0
2417.0,2412.0,0.0,-70.0,-64.0,0.0
2417.0,2412.0,0.0,-85.0,-74.0,0.0
2412.0,2412.0,0.0,-85.0,-72.0,0.0
2417.0,2412.0,0.0,-78.0,-66.0,0.0
2412.0,2412.0,0.0,-75.0,-60.0,0.0
2462.0,2457.0,0.0,-86.0,-59.0,0.0
2452.0,2462.0,0.0,-80.0,-59.0,0.0
2457.0,2457.0,2462.0,-76.0,-51.0,-95.0
2462.0,2462.0,0.0,-72.0,-65.0,0.0
2412.0,2412.0,0.0,-77.0,-70.0,0.0
2412.0,2417.0,0.0,-83.0,-61.0,0.0
2412.0,2417.0,0.0,-79.0,-65.0,0.0
2417.0,2417.0,0.0,-72.0,-54.0,0.0
2417.0,2417.0,0.0,-75.0,-68.0,0.0
2457.0,2462.0,0.0,-83.0,-70.0,0.0
2457.0,2457.0,0.0,-72.0,-54.0,0.0
2462.0,2462.0,2462.0,-85.0,-53.0,-94.0
2462.0,2457.0,2457.0,-80.0,-70.0,-94.0
2462.0,2457.0,2462.0,-73.0,-63.0,-94.0
2462.0,2462.0,2457.0,-66.0,-71.0,-92.0
2462.0,2457.0,0.0,-64.0,-62.0,0.0
2457.0,2457.0,2462.0,-74.0,-69.0,-99.0
2462.0,2462.0,2462.0,-65.0,-67.0,-94.0
2462.0,2462.0,2462.0,-62.0,-81.0,-93.0
2462.0,2462.0,2462.0,-66.0,-63.0,-94.0
2457.0,2457.0,0.0,-75.0,-59.0,0.0
2457.0,2457.0,2462.0,-64.0,-55.0,-93.0
2462.0,2442.0,2442.0,-61.0,-85.0,-95.0
2442.0,2437.0,2442.0,-91.0,-84.0,-92.0
2462.0,2442.0,2462.0,-51.0,-83.0,-92.0
2457.0,2457.0,2462.0,-55.0,-78.0,-97.0
2457.0,2457.0,2462.0,-58.0,-67.0,-93.0
2457.0,2457.0,2462.0,-49.0,-61.0,-96.0
2457.0,2462.0,0.0,-57.0,-75.0,0.0
2457.0,2457.0,0.0,-66.0,-59.0,0.0
2462.0,2457.0,2462.0,-58.0,-62.0,-94.0
2462.0,2462.0,2462.0,-56.0,-57.0,-95.0
2442.0,2442.0,2442.0,-81.0,-83.0,-89.0
2462.0,2442.0,2462.0,-79.0,-83.0,-100.0
2442.0,2442.0,2442.0,-91.0,-81.0,-91.0
2442.0,2457.0,2457.0,-94.0,-71.0,-89.0
2442.0,2457.0,2462.0,-86.0,-56.0,-98.0
2462.0,2452.0,2457.0,-52.0,-83.0,-90.0
2447.0,2462.0,2462.0,-73.0,-62.0,-98.0
2457.0,2457.0,2462.0,-51.0,-64.0,-89.0
2462.0,2462.0,2462.0,-62.0,-74.0,-91.0
2462.0,2457.0,2457.0,-61.0,-62.0,-86.0
2457.0,2462.0,2462.0,-71.0,-72.0,-97.0
2462.0,2462.0,2462.0,-61.0,-70.0,-91.0
2457.0,2457.0,2462.0,-63.0,-72.0,-91.0
2442.0,2442.0,2442.0,-79.0,-82.0,-84.0
2442.0,2442.0,2462.0,-87.0,-82.0,-97.0
2462.0,2457.0,2462.0,-57.0,-53.0,-97.0
2462.0,2457.0,2462.0,-68.0,-75.0,-97.0
2462.0,2457.0,2462.0,-55.0,-67.0,-98.0
2462.0,2462.0,2462.0,-50.0,-68.0,-96.0
2437.0,2452.0,2457.0,-88.0,-75.0,-87.0
2457.0,2457.0,2457.0,-70.0,-71.0,-92.0
2462.0,2457.0,2462.0,-60.0,-69.0,-104.0
2462.0,2457.0,2462.0,-59.0,-64.0,-94.0
2457.0,2462.0,2457.0,-64.0,-72.0,-82.0
2462.0,2462.0,2457.0,-65.0,-66.0,-88.0
2457.0,2457.0,2457.0,-67.0,-71.0,-90.0
2462.0,2462.0,2462.0,-52.0,-75.0,-91.0
2462.0,2452.0,2462.0,-51.0,-65.0,-96.0
2462.0,2457.0,2462.0,-51.0,-67.0,-98.0
2462.0,2457.0,2462.0,-32.0,-74.0,-92.0
