ssid,latitude,longitude,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,7.0657351020000005,125.59647790000001,101,2412,2412,2412,48,48,48
1,7.0657351020000005,125.59647790000001,101,2412,2412,2417,48,48,55
1,7.0657351020000005,125.59647790000001,101,2412,2412,2427,48,48,38
1,7.0657351020000005,125.59647790000001,101,2412,2412,2422,48,48,46
1,7.0657351020000005,125.59647790000001,101,2412,2417,2412,48,55,48
1,7.0657351020000005,125.59647790000001,101,2412,2417,2417,48,55,55
1,7.0657351020000005,125.59647790000001,101,2412,2417,2427,48,55,38
1,7.0657351020000005,125.59647790000001,101,2412,2417,2422,48,55,46
1,7.0657351020000005,125.59647790000001,101,2412,2427,2412,48,38,48
1,7.0657351020000005,125.59647790000001,101,2412,2427,2417,48,38,55
1,7.0657351020000005,125.59647790000001,101,2412,2427,2427,48,38,38
1,7.0657351020000005,125.59647790000001,101,2412,2427,2422,48,38,46
1,7.0657351020000005,125.59647790000001,101,2412,2422,2412,48,46,48
1,7.0657351020000005,125.59647790000001,101,2412,2422,2417,48,46,55
1,7.0657351020000005,125.59647790000001,101,2412,2422,2427,48,46,38
1,7.0657351020000005,125.59647790000001,101,2412,2422,2422,48,46,46
1,7.0657351020000005,125.59647790000001,101,2417,2412,2412,55,48,48
1,7.0657351020000005,125.59647790000001,101,2417,2412,2417,55,48,55
1,7.0657351020000005,125.59647790000001,101,2417,2412,2427,55,48,38
1,7.0657351020000005,125.59647790000001,101,2417,2412,2422,55,48,46
1,7.0657351020000005,125.59647790000001,101,2417,2417,2412,55,55,48
1,7.0657351020000005,125.59647790000001,101,2417,2417,2417,55,55,55
1,7.0657351020000005,125.59647790000001,101,2417,2417,2427,55,55,38
1,7.0657351020000005,125.59647790000001,101,2417,2417,2422,55,55,46
1,7.0657351020000005,125.59647790000001,101,2417,2427,2412,55,38,48
1,7.0657351020000005,125.59647790000001,101,2417,2427,2417,55,38,55
1,7.0657351020000005,125.59647790000001,101,2417,2427,2427,55,38,38
1,7.0657351020000005,125.59647790000001,101,2417,2427,2422,55,38,46
1,7.0657351020000005,125.59647790000001,101,2417,2422,2412,55,46,48
1,7.0657351020000005,125.59647790000001,101,2417,2422,2417,55,46,55
1,7.0657351020000005,125.59647790000001,101,2417,2422,2427,55,46,38
1,7.0657351020000005,125.59647790000001,101,2417,2422,2422,55,46,46
1,7.0657351020000005,125.59647790000001,101,2427,2412,2412,38,48,48
1,7.0657351020000005,125.59647790000001,101,2427,2412,2417,38,48,55
1,7.0657351020000005,125.59647790000001,101,2427,2412,2427,38,48,38
1,7.0657351020000005,125.59647790000001,101,2427,2412,2422,38,48,46
1,7.0657351020000005,125.59647790000001,101,2427,2417,2412,38,55,48
1,7.0657351020000005,125.59647790000001,101,2427,2417,2417,38,55,55
1,7.0657351020000005,125.59647790000001,101,2427,2417,2427,38,55,38
1,7.0657351020000005,125.59647790000001,101,2427,2417,2422,38,55,46
1,7.0657351020000005,125.59647790000001,101,2427,2427,2412,38,38,48
1,7.0657351020000005,125.59647790000001,101,2427,2427,2417,38,38,55
1,7.0657351020000005,125.59647790000001,101,2427,2427,2427,38,38,38
1,7.0657351020000005,125.59647790000001,101,2427,2427,2422,38,38,46
1,7.0657351020000005,125.59647790000001,101,2427,2422,2412,38,46,48
1,7.0657351020000005,125.59647790000001,101,2427,2422,2417,38,46,55
1,7.0657351020000005,125.59647790000001,101,2427,2422,2427,38,46,38
1,7.0657351020000005,125.59647790000001,101,2427,2422,2422,38,46,46
1,7.0657351020000005,125.59647790000001,101,2422,2412,2412,46,48,48
1,7.0657351020000005,125.59647790000001,101,2422,2412,2417,46,48,55
1,7.0657351020000005,125.59647790000001,101,2422,2412,2427,46,48,38
1,7.0657351020000005,125.59647790000001,101,2422,2412,2422,46,48,46
1,7.0657351020000005,125.59647790000001,101,2422,2417,2412,46,55,48
1,7.0657351020000005,125.59647790000001,101,2422,2417,2417,46,55,55
1,7.0657351020000005,125.59647790000001,101,2422,2417,2427,46,55,38
1,7.0657351020000005,125.59647790000001,101,2422,2417,2422,46,55,46
1,7.0657351020000005,125.59647790000001,101,2422,2427,2412,46,38,48
1,7.0657351020000005,125.59647790000001,101,2422,2427,2417,46,38,55
1,7.0657351020000005,125.59647790000001,101,2422,2427,2427,46,38,38
1,7.0657351020000005,125.59647790000001,101,2422,2427,2422,46,38,46
1,7.0657351020000005,125.59647790000001,101,2422,2422,2412,46,46,48
1,7.0657351020000005,125.59647790000001,101,2422,2422,2417,46,46,55
1,7.0657351020000005,125.59647790000001,101,2422,2422,2427,46,46,38
1,7.0657351020000005,125.59647790000001,101,2422,2422,2422,46,46,46
1,7.0657351020000005,125.59647790000001,101,2417,2417,2417,39,39,39
1,7.0657351020000005,125.59647790000001,101,2417,2417,2422,39,39,40
1,7.0657351020000005,125.59647790000001,101,2417,2417,2412,39,39,38
1,7.0657351020000005,125.59647790000001,101,2417,2417,2427,39,39,26
1,7.0657351020000005,125.59647790000001,101,2417,2422,2417,39,40,39
1,7.0657351020000005,125.59647790000001,101,2417,2422,2422,39,40,40
1,7.0657351020000005,125.59647790000001,101,2417,2422,2412,39,40,38
1,7.0657351020000005,125.59647790000001,101,2417,2422,2427,39,40,26
1,7.0657351020000005,125.59647790000001,101,2417,2412,2417,39,38,39
1,7.0657351020000005,125.59647790000001,101,2417,2412,2422,39,38,40
1,7.0657351020000005,125.59647790000001,101,2417,2412,2412,39,38,38
1,7.0657351020000005,125.59647790000001,101,2417,2412,2427,39,38,26
1,7.0657351020000005,125.59647790000001,101,2417,2427,2417,39,26,39
1,7.0657351020000005,125.59647790000001,101,2417,2427,2422,39,26,40
1,7.0657351020000005,125.59647790000001,101,2417,2427,2412,39,26,38
1,7.0657351020000005,125.59647790000001,101,2417,2427,2427,39,26,26
1,7.0657351020000005,125.59647790000001,101,2422,2417,2417,40,39,39
1,7.0657351020000005,125.59647790000001,101,2422,2417,2422,40,39,40
1,7.0657351020000005,125.59647790000001,101,2422,2417,2412,40,39,38
1,7.0657351020000005,125.59647790000001,101,2422,2417,2427,40,39,26
1,7.0657351020000005,125.59647790000001,101,2422,2422,2417,40,40,39
1,7.0657351020000005,125.59647790000001,101,2422,2422,2422,40,40,40
1,7.0657351020000005,125.59647790000001,101,2422,2422,2412,40,40,38
1,7.0657351020000005,125.59647790000001,101,2422,2422,2427,40,40,26
1,7.0657351020000005,125.59647790000001,101,2422,2412,2417,40,38,39
1,7.0657351020000005,125.59647790000001,101,2422,2412,2422,40,38,40
1,7.0657351020000005,125.59647790000001,101,2422,2412,2412,40,38,38
1,7.0657351020000005,125.59647790000001,101,2422,2412,2427,40,38,26
1,7.0657351020000005,125.59647790000001,101,2422,2427,2417,40,26,39
1,7.0657351020000005,125.59647790000001,101,2422,2427,2422,40,26,40
1,7.0657351020000005,125.59647790000001,101,2422,2427,2412,40,26,38
1,7.0657351020000005,125.59647790000001,101,2422,2427,2427,40,26,26
1,7.0657351020000005,125.59647790000001,101,2412,2417,2417,38,39,39
1,7.0657351020000005,125.59647790000001,101,2412,2417,2422,38,39,40
1,7.0657351020000005,125.59647790000001,101,2412,2417,2412,38,39,38
1,7.0657351020000005,125.59647790000001,101,2412,2417,2427,38,39,26
1,7.0657351020000005,125.59647790000001,101,2412,2422,2417,38,40,39
