floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,214,2457,2452,0,-80,-65,100
1,214,2457,2452,0,-74,-63,100
1,214,2457,2457,0,-80,-63,100
1,214,2457,2452,0,-80,-64,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2457,0,-74,-63,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2452,0,-74,-63,100
1,214,2457,2457,0,-74,-63,100
1,214,2457,2452,0,-80,-65,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2457,0,-80,-63,100
1,214,2457,2452,0,-80,-65,100
1,214,2457,2457,0,-80,-63,100
1,214,2457,2457,0,-80,-58,100
1,214,2457,2457,0,-74,-63,100
1,214,2457,2452,0,-74,-63,100
1,214,2457,2457,0,-80,-63,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2457,0,-80,-63,100
1,214,2457,2452,0,-80,-65,100
1,214,2457,2457,0,-80,-58,100
1,214,2457,2452,0,-80,-63,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2457,0,-74,-58,100
1,214,2457,2452,0,-80,-65,100
1,214,2457,2452,0,-74,-65,100
1,214,2457,2457,0,-74,-58,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2452,0,-74,-63,100
1,214,2457,2452,0,-74,-65,100
1,214,2457,2452,0,-80,-64,100
1,214,2457,2457,0,-80,-63,100
1,214,2457,2452,0,-80,-64,100
1,214,2457,2457,0,-74,-63,100
1,214,2457,2452,0,-80,-64,100
1,214,2457,2452,0,-80,-63,100
1,214,2457,2452,0,-74,-65,100
1,214,2457,2452,0,-74,-64,100
1,214,2457,2452,0,-74,-63,100
1,214,2457,2457,0,-80,-63,100
1,214,2457,2457,0,-80,-58,100
1,214,2457,2457,0,-74,-58,100
1,214,2457,2457,0,-74,-63,100
3,214,2452,2457,0,-82,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2457,2457,0,-80,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-80,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-80,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2457,2457,0,-80,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2452,2457,0,-82,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2457,2457,0,-79,-53,100
3,214,2457,2457,0,-80,-53,100
3,214,2452,2457,0,-82,-53,100
5,214,2457,2447,0,-76,-73,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2457,2447,0,-76,-73,100
5,214,2457,2447,0,-76,-73,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2447,0,-84,-73,100
5,214,2457,2452,0,-76,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2447,0,-76,-73,100
5,214,2457,2452,0,-76,-61,100
5,214,2457,2447,0,-76,-73,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2457,2452,0,-76,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2447,0,-84,-73,100
5,214,2457,2452,0,-76,-61,100
5,214,2457,2447,0,-76,-73,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2457,2447,0,-76,-73,100
5,214,2457,2447,0,-76,-73,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2452,0,-84,-61,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2447,0,-84,-73,100
5,214,2452,2447,0,-84,-73,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-51,100
8,214,2452,2457,0,-77,-51,100
8,214,2452,2457,0,-77,-51,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-51,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-51,100
8,214,2452,2457,0,-77,-51,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-47,100
8,214,2452,2457,0,-77,-47,100
14,214,2457,2452,0,-76,-58,100
14,214,2457,2447,0,-76,-79,100
14,214,2457,2452,0,-76,-58,100
14,214,2457,2447,0,-76,-79,100
14,214,2457,2447,0,-76,-79,100
14,214,2457,2452,0,-76,-58,100
14,214,2457,2447,0,-76,-79,100
14,214,2457,2447,0,-76,-79,100
14,214,2457,2452,0,-76,-58,100
14,214,2457,2447,0,-76,-79,100
14,214,2457,2452,0,-76,-58,100
14,214,2457,2452,0,-76,-58,100
14,214,2457,2452,0,-76,-58,100
14,214,2457,2447,0,-76,-79,100
