timestamp,TechnoCamon_20,Xiaomipoco_X3
2024-04-11 15:46:11,-69.0,
2024-04-11 15:46:12,-69.0,
2024-04-11 15:46:18,-74.0,
2024-04-11 15:46:20,-74.0,
2024-04-11 15:46:21,-74.0,
2024-04-11 15:46:22,-67.0,
2024-04-11 15:46:24,-67.0,
2024-04-11 15:46:35,-73.0,
2024-04-11 15:46:36,-73.0,
2024-04-11 15:47:02,-72.0,
2024-04-11 15:47:04,-72.0,
2024-04-11 15:47:05,-72.0,
2024-04-11 15:47:12,-82.0,
2024-04-11 15:47:13,-82.0,
2024-04-11 15:47:14,-82.0,
2024-04-11 15:47:27,-73.0,
2024-04-11 15:47:29,,-66.0
2024-04-11 15:47:40,-95.0,
2024-04-11 15:47:41,-95.0,
2024-04-11 15:47:43,-75.0,
2024-04-11 15:47:45,-75.0,
2024-04-11 15:47:46,-75.0,
2024-04-11 15:48:08,-73.0,
2024-04-11 15:48:47,-77.0,
2024-04-11 15:48:48,-77.0,
2024-04-11 15:48:50,-77.0,
2024-04-11 15:49:04,-77.0,
2024-04-11 15:49:07,-71.0,
2024-04-11 15:49:10,-71.0,
2024-04-11 15:49:11,-71.0,
2024-04-11 15:49:12,-71.0,
2024-04-11 15:49:14,-71.0,
2024-04-11 15:49:15,-71.0,
2024-04-11 15:49:24,-70.0,
2024-04-11 15:49:41,-69.0,
2024-04-11 15:49:43,-69.0,
2024-04-11 15:49:44,-69.0,
2024-04-11 15:49:45,-69.0,
2024-04-11 15:49:59,-69.0,
2024-04-11 15:50:00,-69.0,
2024-04-11 15:50:02,-69.0,
2024-04-11 15:50:09,,-66.0
2024-04-11 15:50:51,,-68.0
2024-04-11 15:51:15,-77.0,
2024-04-11 15:51:18,-77.0,
2024-04-11 15:51:28,,-70.0
2024-04-11 15:51:33,-71.0,
2024-04-11 15:51:51,,-72.0
2024-04-11 15:52:06,,-69.0
2024-04-11 15:52:26,-72.0,-66.0
2024-04-11 15:52:35,-75.0,
2024-04-11 15:52:39,-70.0,
2024-04-11 15:52:43,-76.0,-73.0
2024-04-11 15:52:56,-80.0,
2024-04-11 15:52:57,-80.0,
2024-04-11 15:52:59,-80.0,
2024-04-11 15:53:00,-80.0,
2024-04-11 15:53:01,,-68.0
2024-04-11 15:53:14,-73.0,
2024-04-11 15:53:18,,-66.0
2024-04-11 15:53:27,-72.0,
2024-04-11 15:53:28,-72.0,
2024-04-11 15:53:29,-72.0,
2024-04-11 15:53:30,-72.0,
2024-04-11 15:53:32,-73.0,
2024-04-11 15:53:36,-73.0,
2024-04-11 15:53:45,,-72.0
2024-04-11 15:54:01,-71.0,
2024-04-11 15:54:06,,-72.0
2024-04-11 15:54:07,,-72.0
2024-04-11 15:54:08,,-72.0
2024-04-11 15:54:09,-77.0,
2024-04-11 15:54:14,,-73.0
2024-04-11 15:54:22,,-67.0
2024-04-11 15:54:23,-72.0,-67.0
2024-04-11 15:54:25,-72.0,
2024-04-11 15:54:26,,-67.0
2024-04-11 15:54:40,-70.0,
2024-04-11 15:54:41,,-65.0
2024-04-11 15:54:44,-71.0,
2024-04-11 15:54:45,-71.0,
2024-04-11 15:54:47,-71.0,
2024-04-11 15:54:52,-75.0,
2024-04-11 15:54:53,-75.0,
2024-04-11 15:54:54,-75.0,
2024-04-11 15:54:55,-70.0,
2024-04-11 15:55:09,-78.0,-72.0
2024-04-11 15:55:12,,-72.0
2024-04-11 15:55:16,,-72.0
2024-04-11 15:55:27,,-72.0
2024-04-11 15:55:28,,-72.0
2024-04-11 15:55:30,,-68.0
2024-04-11 15:55:34,-8.0,-66.0
2024-04-11 15:55:47,-69.0,
2024-04-11 15:55:48,-69.0,
2024-04-11 15:55:58,-72.0,
2024-04-11 15:56:06,,-68.0
2024-04-11 15:56:15,-78.0,
2024-04-11 15:56:16,-78.0,
2024-04-11 15:56:17,-78.0,
2024-04-11 15:56:18,-77.0,
2024-04-11 15:56:19,,-72.0
2024-04-11 15:56:20,-77.0,
2024-04-11 15:56:21,-77.0,
2024-04-11 15:56:27,,-66.0
2024-04-11 15:56:32,-71.0,-66.0
2024-04-11 15:56:38,-72.0,
2024-04-11 15:56:39,-72.0,
2024-04-11 15:56:40,-72.0,
2024-04-11 15:56:41,-72.0,
2024-04-11 15:56:47,,-72.0
2024-04-11 15:56:50,-79.0,-73.0
2024-04-11 15:56:52,,-73.0
2024-04-11 15:56:59,,-72.0
2024-04-11 15:57:04,-77.0,
2024-04-11 15:57:06,-77.0,
2024-04-11 15:57:07,-77.0,
2024-04-11 15:57:21,-78.0,
2024-04-11 15:57:25,-77.0,
2024-04-11 15:57:34,-78.0,
2024-04-11 15:57:35,-78.0,
2024-04-11 15:57:36,-78.0,
2024-04-11 15:57:39,-70.0,
2024-04-11 15:57:40,-70.0,
2024-04-11 15:57:42,-70.0,
2024-04-11 15:57:47,-79.0,
2024-04-11 15:57:48,-79.0,
2024-04-11 15:58:02,-73.0,-66.0
2024-04-11 15:58:06,-79.0,-75.0
2024-04-11 15:58:19,-73.0,
2024-04-11 15:58:26,-75.0,
2024-04-11 15:58:54,-74.0,
2024-04-11 15:58:55,-74.0,
2024-04-11 15:58:56,-74.0,
2024-04-11 15:59:22,,-65.0
2024-04-11 15:59:25,-72.0,
2024-04-11 15:59:26,-72.0,-66.0
2024-04-11 15:59:27,-72.0,
2024-04-11 15:59:29,-77.0,
2024-04-11 15:59:34,-79.0,
2024-04-11 15:59:35,-79.0,
2024-04-11 15:59:36,-79.0,
2024-04-11 15:59:42,-72.0,
2024-04-11 15:59:45,-76.0,-68.0
2024-04-11 15:59:47,,-68.0
2024-04-11 15:59:49,,-68.0
2024-04-11 16:00:02,-78.0,
2024-04-11 16:00:11,-79.0,
2024-04-11 16:00:12,-79.0,
2024-04-11 16:00:14,-74.0,
