timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:46:17,,-75.0,
2024-04-11 15:46:20,,-75.0,
2024-04-11 15:46:22,,-75.0,
2024-04-11 15:46:27,,-77.0,
2024-04-11 15:46:30,,-77.0,
2024-04-11 15:46:36,,-83.0,-85.0
2024-04-11 15:46:39,,-83.0,-85.0
2024-04-11 15:46:40,,-83.0,
2024-04-11 15:46:42,,-83.0,
2024-04-11 15:46:55,-84.0,-83.0,
2024-04-11 15:46:57,-84.0,,
2024-04-11 15:47:00,-83.0,,
2024-04-11 15:47:01,-83.0,,
2024-04-11 15:47:04,,,-85.0
2024-04-11 15:47:16,-81.0,-92.0,
2024-04-11 15:47:18,,-92.0,
2024-04-11 15:47:19,,-92.0,
2024-04-11 15:47:25,-76.0,,-86.0
2024-04-11 15:47:27,,,-86.0
2024-04-11 15:47:29,,,-86.0
2024-04-11 15:47:30,-82.0,,-86.0
2024-04-11 15:47:31,,,-86.0
2024-04-11 15:47:32,,,-86.0
2024-04-11 15:47:35,-83.0,-83.0,
2024-04-11 15:47:36,-83.0,-83.0,
2024-04-11 15:47:37,-83.0,,-86.0
2024-04-11 15:47:38,-83.0,,-86.0
2024-04-11 15:47:40,-83.0,,-86.0
2024-04-11 15:47:41,-83.0,-84.0,-80.0
2024-04-11 15:47:42,-83.0,-84.0,-80.0
2024-04-11 15:47:43,-83.0,-84.0,-80.0
2024-04-11 15:47:45,,,-80.0
2024-04-11 15:47:47,,,-80.0
2024-04-11 15:47:48,,,-80.0
2024-04-11 15:47:49,,,-81.0
2024-04-11 15:47:50,,,-81.0
2024-04-11 15:47:52,,,-81.0
2024-04-11 15:47:55,-80.0,,-84.0
2024-04-11 15:47:57,-80.0,,-84.0
2024-04-11 15:47:58,,,-85.0
2024-04-11 15:47:59,,,-85.0
2024-04-11 15:48:01,,,-85.0
2024-04-11 15:48:03,-76.0,-87.0,
2024-04-11 15:48:04,,-87.0,
2024-04-11 15:48:05,-79.0,-85.0,-84.0
2024-04-11 15:48:07,-79.0,-85.0,-84.0
2024-04-11 15:48:08,-79.0,-85.0,-84.0
