timestamp,Xiaomi_10T,Xiaomipoco_X3
2024-04-11 15:53:20,,-77.0
2024-04-11 15:53:21,,-77.0
2024-04-11 15:53:39,,-70.0
2024-04-11 15:53:43,,-75.0
2024-04-11 15:53:59,,-70.0
2024-04-11 15:54:00,,-70.0
2024-04-11 15:54:03,,-70.0
2024-04-11 15:54:04,,-70.0
2024-04-11 15:54:16,,-70.0
2024-04-11 15:54:18,,-70.0
2024-04-11 15:54:19,,-70.0
2024-04-11 15:54:22,,-70.0
2024-04-11 15:54:34,,-71.0
2024-04-11 15:54:35,,-71.0
2024-04-11 15:55:03,,-70.0
2024-04-11 15:55:11,,-76.0
2024-04-11 15:55:19,,-77.0
2024-04-11 15:55:20,,-77.0
2024-04-11 15:55:41,,-69.0
2024-04-11 15:55:42,,-69.0
2024-04-11 15:55:51,,-75.0
2024-04-11 15:55:53,,-75.0
2024-04-11 15:55:57,,-77.0
2024-04-11 15:56:01,,-70.0
2024-04-11 15:56:12,,-76.0
2024-04-11 15:56:14,,-76.0
2024-04-11 15:56:16,,-71.0
2024-04-11 15:56:20,,-69.0
2024-04-11 15:56:22,,-69.0
2024-04-11 15:56:24,,-70.0
2024-04-11 15:56:26,,-70.0
2024-04-11 15:56:30,,-71.0
2024-04-11 15:56:31,,-71.0
2024-04-11 15:56:34,,-70.0
2024-04-11 15:56:36,,-70.0
2024-04-11 15:56:48,,-71.0
2024-04-11 15:56:49,,-71.0
2024-04-11 15:56:54,,-70.0
2024-04-11 15:57:01,,-75.0
2024-04-11 15:57:02,,-75.0
2024-04-11 15:57:11,,-76.0
2024-04-11 15:57:12,,-76.0
2024-04-11 15:57:15,,-76.0
2024-04-11 15:57:16,,-76.0
2024-04-11 15:57:22,,-77.0
2024-04-11 15:57:25,,-77.0
2024-04-11 15:57:44,,-69.0
2024-04-11 15:57:46,,-69.0
2024-04-11 15:58:05,,-76.0
2024-04-11 15:58:21,,-71.0
2024-04-11 15:58:39,,-71.0
2024-04-11 15:58:42,,-71.0
2024-04-11 15:58:43,,-73.0
2024-04-11 15:58:45,,-73.0
2024-04-11 15:58:49,,-71.0
2024-04-11 15:58:55,,-71.0
2024-04-11 15:58:56,,-71.0
2024-04-11 15:58:59,,-72.0
2024-04-11 15:59:00,,-72.0
2024-04-11 15:59:03,,-70.0
2024-04-11 15:59:05,,-70.0
2024-04-11 15:59:26,,-70.0
2024-04-11 15:59:27,,-70.0
2024-04-11 15:59:36,,-76.0
2024-04-11 16:00:16,,-75.0
2024-04-11 16:00:18,,-75.0
2024-04-11 16:00:25,,-71.0
2024-04-11 16:00:26,,-71.0
2024-04-11 16:00:34,,-75.0
2024-04-11 16:01:11,,-73.0
2024-04-11 16:01:12,,-73.0
2024-04-11 16:01:15,,-80.0
2024-04-11 16:01:17,,-80.0
2024-04-11 16:01:25,,-71.0
2024-04-11 16:01:26,,-71.0
2024-04-11 16:01:37,,-76.0
2024-04-11 16:01:38,,-76.0
2024-04-11 16:01:39,,-76.0
2024-04-11 16:01:57,,-76.0
2024-04-11 16:02:00,,-76.0
2024-04-11 16:02:09,,-69.0
2024-04-11 16:02:10,,-69.0
2024-04-11 16:02:13,,-70.0
2024-04-11 16:02:14,,-70.0
2024-04-11 16:02:16,,-70.0
2024-04-11 16:02:24,,-68.0
2024-04-11 16:02:32,,-76.0
2024-04-11 16:02:34,,-76.0
2024-04-11 16:02:36,,-77.0
2024-04-11 16:02:38,,-77.0
2024-04-11 16:02:40,,-76.0
2024-04-11 16:02:42,,-76.0
2024-04-11 16:02:47,,-74.0
2024-04-11 16:02:49,,-68.0
2024-04-11 16:03:00,,-70.0
2024-04-11 16:03:01,,-70.0
2024-04-11 16:03:19,,-71.0
2024-04-11 16:03:21,,-71.0
2024-04-11 16:03:22,,-71.0
2024-04-11 16:03:27,,-71.0
2024-04-11 16:03:29,,-71.0
2024-04-11 16:03:59,-85.0,-70.0
2024-04-11 16:04:01,-85.0,-70.0
2024-04-11 16:04:04,-85.0,
2024-04-11 16:04:06,-85.0,
2024-04-11 16:04:07,-85.0,
2024-04-11 16:04:09,-85.0,
2024-04-11 16:04:12,-85.0,
2024-04-11 16:04:15,-85.0,-70.0
2024-04-11 16:04:17,-85.0,-70.0
2024-04-11 16:04:20,-87.0,
2024-04-11 16:04:22,-87.0,
2024-04-11 16:04:25,-87.0,
2024-04-11 16:04:27,-87.0,
2024-04-11 16:04:28,-87.0,
2024-04-11 16:04:29,-87.0,
2024-04-11 16:04:30,-87.0,
2024-04-11 16:04:43,,-71.0
2024-04-11 16:04:45,,-71.0
2024-04-11 16:04:46,,-71.0
2024-04-11 16:05:00,,-75.0
2024-04-11 16:05:03,,-75.0
2024-04-11 16:05:04,,-75.0
2024-04-11 16:05:06,,-75.0
2024-04-11 16:05:07,,-75.0
2024-04-11 16:05:13,,-76.0
2024-04-11 16:05:15,,-76.0
2024-04-11 16:05:29,-83.0,
2024-04-11 16:05:32,-83.0,
2024-04-11 16:05:34,-83.0,
2024-04-11 16:05:35,-83.0,
2024-04-11 16:05:37,-84.0,
2024-04-11 16:05:38,-85.0,
2024-04-11 16:05:40,-85.0,
2024-04-11 16:05:41,-85.0,
2024-04-11 16:06:20,,-72.0
2024-04-11 16:06:21,,-72.0
2024-04-11 16:06:28,-84.0,
2024-04-11 16:06:29,-84.0,
2024-04-11 16:06:30,-84.0,
2024-04-11 16:06:32,-84.0,
2024-04-11 16:06:33,-84.0,
2024-04-11 16:06:36,-86.0,-76.0
2024-04-11 16:06:37,,-76.0
2024-04-11 16:06:38,-88.0,-76.0
2024-04-11 16:06:41,-88.0,
2024-04-11 16:06:42,-88.0,
2024-04-11 16:06:44,-88.0,
2024-04-11 16:06:45,-88.0,
2024-04-11 16:06:46,-88.0,
2024-04-11 16:06:48,-88.0,
2024-04-11 16:06:50,-88.0,
2024-04-11 16:06:53,-88.0,
2024-04-11 16:06:54,-88.0,
2024-04-11 16:06:56,-88.0,
2024-04-11 16:06:57,-88.0,-70.0
2024-04-11 16:06:58,,-70.0
2024-04-11 16:07:00,-88.0,
2024-04-11 16:07:02,-88.0,
2024-04-11 16:07:04,-88.0,
2024-04-11 16:07:05,-88.0,
2024-04-11 16:07:06,-88.0,
2024-04-11 16:07:08,-88.0,
2024-04-11 16:07:09,-88.0,
2024-04-11 16:07:12,-88.0,-71.0
2024-04-11 16:07:14,-88.0,-71.0
2024-04-11 16:07:16,-88.0,
2024-04-11 16:07:17,-88.0,
2024-04-11 16:07:18,-88.0,
2024-04-11 16:07:21,-88.0,
2024-04-11 16:07:23,-88.0,
2024-04-11 16:07:24,-88.0,
2024-04-11 16:07:25,-88.0,
2024-04-11 16:07:26,-88.0,
2024-04-11 16:07:28,-88.0,
2024-04-11 16:07:30,-88.0,
2024-04-11 16:07:33,-88.0,
2024-04-11 16:07:34,-88.0,
2024-04-11 16:07:36,-86.0,
2024-04-11 16:07:37,-86.0,
2024-04-11 16:07:38,-86.0,
2024-04-11 16:07:40,-86.0,-71.0
2024-04-11 16:07:41,,-71.0
2024-04-11 16:07:42,-86.0,-71.0
2024-04-11 16:07:45,-86.0,
2024-04-11 16:07:46,-86.0,
2024-04-11 16:07:47,-86.0,-70.0
2024-04-11 16:07:49,-86.0,-70.0
2024-04-11 16:07:50,,-70.0
2024-04-11 16:07:51,-86.0,
2024-04-11 16:07:54,-86.0,
2024-04-11 16:07:56,-86.0,-75.0
2024-04-11 16:07:57,-86.0,-75.0
2024-04-11 16:07:58,-86.0,-75.0
2024-04-11 16:08:00,-86.0,-71.0
2024-04-11 16:08:01,-86.0,-71.0
2024-04-11 16:08:04,-86.0,-76.0
2024-04-11 16:08:06,-86.0,-76.0
2024-04-11 16:08:08,-86.0,
2024-04-11 16:08:09,-86.0,
2024-04-11 16:08:10,-86.0,
2024-04-11 16:08:13,-86.0,
2024-04-11 16:08:15,,-69.0
2024-04-11 16:08:17,,-69.0
2024-04-11 16:08:18,,-69.0
2024-04-11 16:08:35,,-70.0
2024-04-11 16:08:37,,-70.0
2024-04-11 16:08:59,,-71.0
2024-04-11 16:09:01,,-71.0
2024-04-11 16:09:07,,-76.0
2024-04-11 16:09:09,,-76.0
2024-04-11 16:09:10,,-76.0
2024-04-11 16:09:15,,-70.0
2024-04-11 16:09:16,,-70.0
2024-04-11 16:09:27,,-71.0
2024-04-11 16:09:31,,-76.0
2024-04-11 16:09:33,,-76.0
2024-04-11 16:09:36,,-76.0
2024-04-11 16:09:46,,-69.0
2024-04-11 16:09:48,,-69.0
2024-04-11 16:09:49,,-69.0
2024-04-11 16:09:50,,-71.0
2024-04-11 16:09:52,,-71.0
2024-04-11 16:10:07,,-69.0
2024-04-11 16:10:08,,-69.0
2024-04-11 16:10:19,,-69.0
2024-04-11 16:10:20,,-69.0
2024-04-11 16:10:22,,-76.0
2024-04-11 16:10:23,,-76.0
2024-04-11 16:10:58,,-70.0
2024-04-11 16:10:59,,-70.0
2024-04-11 16:11:09,,-70.0
2024-04-11 16:11:10,,-70.0
2024-04-11 16:11:28,,-71.0
2024-04-11 16:11:29,,-71.0
2024-04-11 16:11:32,,-70.0
2024-04-11 16:11:33,,-70.0
2024-04-11 16:11:36,,-72.0
2024-04-11 16:11:37,,-72.0
2024-04-11 16:11:40,,-71.0
2024-04-11 16:11:41,,-71.0
2024-04-11 16:11:48,,-70.0
2024-04-11 16:11:50,-82.0,-70.0
2024-04-11 16:11:51,-82.0,
2024-04-11 16:12:00,,-70.0
2024-04-11 16:12:02,,-70.0
2024-04-11 16:13:21,,-71.0
2024-04-11 16:13:22,,-71.0
2024-04-11 16:13:37,,-76.0
2024-04-11 16:13:39,,-76.0
2024-04-11 16:13:50,,-71.0
2024-04-11 16:13:51,,-71.0
2024-04-11 16:13:54,,-71.0
2024-04-11 16:13:55,,-71.0
2024-04-11 16:13:58,-78.0,-77.0
2024-04-11 16:13:59,-78.0,
2024-04-11 16:14:01,-78.0,
2024-04-11 16:14:02,-78.0,
2024-04-11 16:14:04,-78.0,
2024-04-11 16:14:05,-78.0,
2024-04-11 16:14:06,-78.0,
2024-04-11 16:14:08,-78.0,
2024-04-11 16:14:09,-78.0,
2024-04-11 16:14:10,-78.0,
2024-04-11 16:14:12,-78.0,
2024-04-11 16:14:13,-78.0,
2024-04-11 16:14:15,-78.0,
2024-04-11 16:14:16,-78.0,
2024-04-11 16:14:17,-78.0,
2024-04-11 16:14:18,-78.0,
2024-04-11 16:14:21,-78.0,
2024-04-11 16:14:23,-78.0,
2024-04-11 16:14:24,-78.0,
2024-04-11 16:14:25,-78.0,
2024-04-11 16:14:27,-78.0,
2024-04-11 16:14:28,-78.0,
2024-04-11 16:14:31,-78.0,
2024-04-11 16:14:32,-78.0,
2024-04-11 16:14:33,-78.0,
2024-04-11 16:14:35,-78.0,
2024-04-11 16:14:36,-78.0,-76.0
2024-04-11 16:14:38,-78.0,-76.0
2024-04-11 16:14:39,-78.0,
