timestamp,TechnoCamon_20
2024-04-11 15:46:12,-72
2024-04-11 15:46:24,-73
2024-04-11 15:47:00,-77
2024-04-11 15:47:47,-70
2024-04-11 15:47:49,-75
2024-04-11 15:48:07,-71
2024-04-11 15:48:22,-77
2024-04-11 15:48:33,-70
2024-04-11 15:48:45,-78
2024-04-11 15:48:49,-74
2024-04-11 15:49:11,-75
2024-04-11 15:49:55,-78
2024-04-11 15:49:57,-78
2024-04-11 15:50:09,-74
2024-04-11 15:50:48,-78
2024-04-11 15:50:58,-74
2024-04-11 15:51:04,-70
2024-04-11 15:51:09,-68
2024-04-11 15:51:25,-70
2024-04-11 15:52:12,-69
2024-04-11 15:52:17,-70
2024-04-11 15:52:48,-75
2024-04-11 15:52:49,-75
2024-04-11 15:53:11,-70
2024-04-11 15:53:56,-71
2024-04-11 15:54:25,-70
2024-04-11 15:54:55,-77
2024-04-11 15:55:08,-72
2024-04-11 15:55:19,-77
2024-04-11 15:55:31,-73
2024-04-11 15:55:39,-71
2024-04-11 15:55:40,-71
2024-04-11 15:55:44,-78
2024-04-11 15:55:47,-78
2024-04-11 15:55:48,-78
2024-04-11 15:55:49,-78
2024-04-11 15:56:06,-76
2024-04-11 15:56:28,-77
2024-04-11 15:57:00,-76
2024-04-11 15:57:15,-72
2024-04-11 15:57:33,-71
2024-04-11 15:57:56,-83
2024-04-11 15:57:57,-83
2024-04-11 15:58:16,-78
2024-04-11 15:58:43,-77
2024-04-11 15:59:16,-72
2024-04-11 15:59:34,-71
2024-04-11 15:59:50,-79
2024-04-11 16:00:51,-78
2024-04-11 16:01:16,-80
2024-04-11 16:01:30,-75
2024-04-11 16:01:47,-71
2024-04-11 16:02:19,-78
2024-04-11 16:02:24,-81
2024-04-11 16:02:49,-76
2024-04-11 16:02:58,-78
2024-04-11 16:03:20,-77
2024-04-11 16:03:33,-71
2024-04-11 16:03:38,-77
2024-04-11 16:03:46,-78
2024-04-11 16:03:55,-76
2024-04-11 16:03:59,-74
2024-04-11 16:04:27,-76
2024-04-11 16:04:29,-76
2024-04-11 16:04:30,-76
2024-04-11 16:05:00,-76
2024-04-11 16:05:30,-75
2024-04-11 16:05:56,-76
2024-04-11 16:06:13,-77
2024-04-11 16:06:26,-77
2024-04-11 16:06:30,-77
2024-04-11 16:07:04,-74
2024-04-11 16:07:09,-76
2024-04-11 16:07:30,-70
2024-04-11 16:07:49,-76
2024-04-11 16:07:54,-77
2024-04-11 16:08:06,-70
2024-04-11 16:08:08,-70
2024-04-11 16:08:09,-70
2024-04-11 16:08:26,-76
2024-04-11 16:08:37,-72
2024-04-11 16:08:38,-72
2024-04-11 16:08:39,-72
2024-04-11 16:08:44,-77
2024-04-11 16:09:10,-75
2024-04-11 16:09:18,-75
2024-04-11 16:09:27,-71
2024-04-11 16:09:31,-71
2024-04-11 16:09:38,-72
2024-04-11 16:09:48,-69
2024-04-11 16:09:57,-70
2024-04-11 16:09:58,-70
2024-04-11 16:10:00,-70
2024-04-11 16:10:15,-76
2024-04-11 16:10:39,-76
2024-04-11 16:10:48,-78
2024-04-11 16:10:54,-77
2024-04-11 16:10:58,-73
2024-04-11 16:11:02,-71
2024-04-11 16:11:06,-80
2024-04-11 16:11:10,-74
2024-04-11 16:11:26,-76
2024-04-11 16:11:43,-80
2024-04-11 16:12:17,-71
2024-04-11 16:12:38,-72
2024-04-11 16:12:59,-77
2024-04-11 16:13:17,-69
2024-04-11 16:13:22,-72
2024-04-11 16:13:38,-79
2024-04-11 16:13:40,-79
2024-04-11 16:13:41,-79
2024-04-11 16:13:43,-79
2024-04-11 16:13:51,-75
2024-04-11 16:14:06,-76
2024-04-11 16:14:10,-72
2024-04-11 16:14:29,-76
2024-04-11 16:14:43,-72
2024-04-11 16:14:44,-72
2024-04-11 16:14:46,-72
