timestamp,Xiaomi_10T
2024-04-11 15:51:54,-86.0
2024-04-11 15:51:56,-86.0
2024-04-11 15:51:57,-86.0
2024-04-11 15:51:59,-86.0
2024-04-11 15:52:01,-86.0
2024-04-11 15:52:06,-84.0
2024-04-11 15:52:24,-91.0
2024-04-11 15:52:29,-85.0
2024-04-11 15:52:33,-85.0
2024-04-11 15:52:34,-85.0
2024-04-11 15:52:37,-85.0
2024-04-11 15:52:38,-85.0
2024-04-11 15:52:40,-85.0
2024-04-11 15:53:04,-86.0
2024-04-11 15:53:05,-86.0
2024-04-11 15:53:07,-86.0
2024-04-11 15:53:09,-86.0
2024-04-11 15:53:11,-86.0
2024-04-11 15:53:13,-86.0
2024-04-11 15:53:15,-86.0
2024-04-11 15:53:16,-86.0
2024-04-11 15:53:18,-86.0
2024-04-11 15:53:20,-86.0
2024-04-11 15:53:21,-86.0
2024-04-11 15:53:24,-86.0
2024-04-11 15:53:25,-86.0
2024-04-11 15:53:28,-86.0
2024-04-11 15:53:29,-86.0
2024-04-11 15:53:32,-86.0
2024-04-11 15:53:33,-86.0
2024-04-11 15:53:36,-86.0
2024-04-11 15:53:37,-86.0
2024-04-11 15:53:39,-86.0
2024-04-11 15:53:41,-86.0
2024-04-11 15:53:43,-86.0
2024-04-11 15:53:45,-86.0
2024-04-11 15:53:47,-86.0
2024-04-11 15:53:49,-86.0
2024-04-11 15:53:51,-86.0
2024-04-11 15:53:53,-86.0
2024-04-11 15:53:55,-86.0
2024-04-11 15:54:03,-84.0
2024-04-11 15:54:06,-84.0
2024-04-11 15:54:07,-84.0
2024-04-11 15:54:09,-84.0
2024-04-11 15:54:10,-84.0
2024-04-11 15:54:13,-84.0
2024-04-11 15:54:14,-84.0
2024-04-11 15:54:17,-84.0
2024-04-11 15:55:11,-88.0
2024-04-11 15:55:12,-88.0
2024-04-11 15:55:15,-88.0
2024-04-11 15:55:16,-88.0
2024-04-11 15:55:19,-88.0
2024-04-11 15:55:20,-88.0
2024-04-11 15:55:23,-88.0
2024-04-11 15:55:24,-88.0
2024-04-11 15:55:27,-88.0
2024-04-11 15:55:28,-88.0
2024-04-11 15:55:30,-88.0
2024-04-11 15:55:32,-88.0
2024-04-11 15:55:34,-88.0
2024-04-11 15:55:35,-88.0
2024-04-11 15:55:38,-88.0
2024-04-11 15:55:39,-88.0
2024-04-11 15:55:41,-88.0
2024-04-11 15:55:42,-88.0
2024-04-11 15:55:43,-88.0
2024-04-11 15:55:45,-88.0
2024-04-11 15:55:46,-88.0
2024-04-11 15:55:47,-88.0
2024-04-11 15:55:49,-88.0
2024-04-11 15:55:51,-88.0
2024-04-11 15:55:53,-88.0
2024-04-11 15:55:57,-88.0
2024-04-11 15:56:00,-88.0
2024-04-11 15:56:01,-88.0
2024-04-11 15:56:04,-88.0
2024-04-11 15:56:05,-88.0
2024-04-11 15:56:07,-88.0
2024-04-11 15:56:09,-84.5
2024-04-11 15:56:11,-81.0
2024-04-11 15:56:12,-81.0
2024-04-11 15:56:15,-81.0
2024-04-11 15:56:16,-81.0
2024-04-11 15:56:18,-81.0
2024-04-11 15:56:19,-81.0
2024-04-11 15:56:20,-81.0
2024-04-11 15:56:22,-79.0
2024-04-11 15:56:24,-79.0
2024-04-11 15:56:26,-79.0
2024-04-11 15:56:29,-79.0
2024-04-11 15:56:30,-79.0
2024-04-11 15:56:32,-79.0
2024-04-11 15:56:34,-79.0
2024-04-11 15:58:01,-90.0
2024-04-11 15:58:02,-90.0
2024-04-11 15:58:05,-90.0
2024-04-11 15:58:07,-90.0
2024-04-11 15:58:09,-90.0
2024-04-11 15:58:11,-90.0
2024-04-11 15:58:12,-90.0
2024-04-11 15:58:15,-90.0
2024-04-11 15:58:17,-90.0
2024-04-11 15:58:19,-90.0
2024-04-11 15:58:21,-90.0
2024-04-11 15:58:23,-90.0
2024-04-11 15:58:25,-82.0
2024-04-11 15:58:28,-82.0
2024-04-11 15:58:29,-82.0
2024-04-11 15:58:32,-82.0
2024-04-11 15:58:34,-82.0
2024-04-11 15:58:36,-82.0
2024-04-11 15:58:38,-82.0
2024-04-11 15:58:39,-82.0
2024-04-11 15:58:42,-82.0
2024-04-11 15:58:45,-82.0
2024-04-11 15:58:46,-82.0
2024-04-11 15:58:49,-82.0
2024-04-11 15:58:51,-82.0
2024-04-11 15:58:52,-82.0
2024-04-11 15:58:53,-82.0
2024-04-11 15:58:55,-82.0
2024-04-11 15:58:56,-82.0
2024-04-11 15:58:59,-82.0
2024-04-11 15:59:02,-82.0
2024-04-11 15:59:03,-82.0
2024-04-11 15:59:05,-82.0
2024-04-11 15:59:06,-82.0
2024-04-11 15:59:07,-82.0
2024-04-11 15:59:09,-82.0
2024-04-11 15:59:12,-82.0
2024-04-11 15:59:13,-82.0
2024-04-11 15:59:16,-82.0
2024-04-11 15:59:18,-82.0
2024-04-11 15:59:20,-82.0
2024-04-11 15:59:22,-83.5
2024-04-11 15:59:53,-81.0
2024-04-11 15:59:56,-84.5
2024-04-11 15:59:57,-88.0
