timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:50:07,,-79.0,
2024-04-11 15:50:08,-73.0,-79.0,
2024-04-11 15:50:09,-73.0,-79.0,
2024-04-11 15:50:11,,-78.0,
2024-04-11 15:50:12,,-78.0,
2024-04-11 15:50:13,,-78.0,
2024-04-11 15:50:14,,-78.0,
2024-04-11 15:50:16,,-78.0,
2024-04-11 15:50:17,,-78.0,
2024-04-11 15:50:18,-73.0,-78.0,-74.0
2024-04-11 15:50:20,,-78.0,
2024-04-11 15:50:21,,-78.0,
2024-04-11 15:50:22,-76.0,-79.0,
2024-04-11 15:50:23,-76.0,,
2024-04-11 15:50:26,-76.0,,
2024-04-11 15:50:27,-76.0,-75.0,
2024-04-11 15:50:28,,-75.0,
2024-04-11 15:50:30,,-75.0,
2024-04-11 15:50:31,,-75.0,
2024-04-11 15:50:39,-74.0,-78.0,
2024-04-11 15:50:44,,-78.0,
2024-04-11 15:50:46,,-78.0,
2024-04-11 15:50:47,,-78.0,
2024-04-11 15:50:48,,-78.0,
2024-04-11 15:50:49,,-78.0,
2024-04-11 15:50:51,,-78.0,
2024-04-11 15:50:56,,-77.0,
2024-04-11 15:50:57,-74.0,-77.0,
2024-04-11 15:50:58,-74.0,-77.0,
2024-04-11 15:51:00,-72.0,-77.0,-71.0
2024-04-11 15:51:01,,-77.0,
2024-04-11 15:51:02,,-77.0,
2024-04-11 15:51:03,,-77.0,
2024-04-11 15:51:04,-73.0,-78.0,
2024-04-11 15:51:06,,-78.0,
2024-04-11 15:51:07,-73.0,-78.0,
2024-04-11 15:51:08,-74.0,-77.0,
2024-04-11 15:51:09,,-77.0,
2024-04-11 15:51:10,,-77.0,
2024-04-11 15:51:11,,-77.0,
2024-04-11 15:51:13,,-77.0,
2024-04-11 15:51:22,-72.0,,
2024-04-11 15:51:23,-72.0,,
2024-04-11 15:51:24,-72.0,,
2024-04-11 15:51:26,-72.0,,
2024-04-11 15:51:31,-72.0,,
2024-04-11 15:51:37,,,-71.0
2024-04-11 15:51:38,,,-71.0
2024-04-11 15:51:39,,,-71.0
2024-04-11 15:51:42,-73.0,,-72.0
2024-04-11 15:51:43,,,-72.0
2024-04-11 15:51:53,-71.0,-78.0,
2024-04-11 15:51:54,,-78.0,
2024-04-11 15:51:56,,-78.0,
2024-04-11 15:51:57,,-78.0,
2024-04-11 15:51:58,-74.0,-78.0,-76.0
2024-04-11 15:51:59,,-78.0,
2024-04-11 15:52:01,,-78.0,-76.0
2024-04-11 15:52:02,,-78.0,-76.0
2024-04-11 15:52:03,,-78.0,
2024-04-11 15:52:04,,-78.0,
2024-04-11 15:52:06,,-78.0,
2024-04-11 15:52:11,-74.0,,-77.0
2024-04-11 15:52:12,,,-77.0
2024-04-11 15:52:14,,,-77.0
2024-04-11 15:52:15,,,-77.0
2024-04-11 15:52:16,,,-73.0
2024-04-11 15:52:17,,,-73.0
2024-04-11 15:52:20,,,-73.0
2024-04-11 15:52:21,,,-74.0
2024-04-11 15:52:22,,,-74.0
2024-04-11 15:52:24,,,-74.0
2024-04-11 15:52:29,-73.0,-78.0,
2024-04-11 15:52:30,,-78.0,
2024-04-11 15:52:31,,-78.0,
2024-04-11 15:52:33,-71.0,-78.0,-73.0
2024-04-11 15:52:34,-71.0,-78.0,
2024-04-11 15:52:35,-71.0,-78.0,
2024-04-11 15:52:37,,-78.0,
2024-04-11 15:52:38,-71.5,,
2024-04-11 15:52:49,,-73.0,
2024-04-11 15:52:51,,,-75.0
2024-04-11 15:53:09,,,-73.0
2024-04-11 15:53:16,-75.0,-78.0,
2024-04-11 15:53:18,-75.0,-78.0,
2024-04-11 15:53:19,,-78.0,
2024-04-11 15:53:20,-72.5,-71.0,
2024-04-11 15:53:21,-70.0,-71.0,
2024-04-11 15:53:23,,-71.0,
2024-04-11 15:53:24,-70.0,-79.0,-76.0
2024-04-11 15:53:25,-70.0,-79.0,
2024-04-11 15:53:27,,-79.0,
2024-04-11 15:53:28,-70.0,-79.0,
2024-04-11 15:53:29,,-79.0,-73.0
2024-04-11 15:53:30,,-79.0,-73.0
2024-04-11 15:53:32,,-79.0,-73.0
2024-04-11 15:53:33,,-79.0,-73.0
2024-04-11 15:53:36,-72.0,,
2024-04-11 15:53:37,-72.0,,
2024-04-11 15:53:39,-76.0,,
2024-04-11 15:53:46,,-76.0,-78.0
2024-04-11 15:53:47,-73.0,-76.0,-78.0
2024-04-11 15:53:49,,-76.0,-78.0
2024-04-11 15:53:50,,-76.0,-78.0
2024-04-11 15:53:55,,,-76.0
2024-04-11 15:53:59,-73.0,,-75.0
