timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T
2024-04-11 15:50:26,-63.0,,,-67.0
2024-04-11 15:50:27,-63.0,,,-67.0
2024-04-11 15:50:28,-63.0,,,-68.0
2024-04-11 15:50:31,-63.0,,,-68.0
2024-04-11 15:50:37,-65.0,-57.0,,
2024-04-11 15:50:38,-65.0,,,
2024-04-11 15:50:40,-65.0,,,
2024-04-11 15:50:42,,,,-66.0
2024-04-11 15:50:43,,,,-66.0
2024-04-11 15:50:46,,,,-66.0
2024-04-11 15:50:47,,-59.0,,
2024-04-11 15:50:48,,-59.0,,
2024-04-11 15:50:52,-66.0,,,
2024-04-11 15:50:53,-66.0,,,
2024-04-11 15:50:55,-66.0,,,
2024-04-11 15:51:02,-64.0,,,
2024-04-11 15:51:03,-64.0,,,
2024-04-11 15:51:04,-64.0,,,
2024-04-11 15:51:07,-64.0,,-80.0,
2024-04-11 15:51:11,,,-72.0,
2024-04-11 15:51:12,-61.0,,,
2024-04-11 15:51:13,-61.0,,-72.0,-69.0
2024-04-11 15:51:14,-61.0,,,-69.0
2024-04-11 15:51:17,-61.0,,,-69.0
2024-04-11 15:51:18,,,-78.0,
2024-04-11 15:51:23,-67.0,,-85.0,-71.0
2024-04-11 15:51:24,-67.0,,,-71.0
2024-04-11 15:51:25,-67.0,,,-71.0
2024-04-11 15:51:28,-67.0,,,-71.0
2024-04-11 15:51:29,,,-77.0,-67.0
2024-04-11 15:51:30,,,,-67.0
2024-04-11 15:51:33,,,,-67.0
2024-04-11 15:51:34,,,,-67.0
2024-04-11 15:51:37,-63.0,-54.0,,
2024-04-11 15:51:39,-63.0,-54.0,,
2024-04-11 15:51:41,-63.0,-54.0,,
2024-04-11 15:51:44,-63.0,,,-67.0
2024-04-11 15:51:46,-63.0,,,-67.0
2024-04-11 15:51:47,,,,-66.0
2024-04-11 15:51:48,,,,-66.0
2024-04-11 15:51:51,-66.0,-54.0,-81.0,-66.5
2024-04-11 15:51:52,-66.0,-54.0,,-67.0
2024-04-11 15:51:53,-66.0,-54.0,,-67.0
2024-04-11 15:51:56,-66.0,-54.0,,-67.0
2024-04-11 15:51:57,-66.0,-54.0,,-67.0
2024-04-11 15:51:58,,,-80.0,
2024-04-11 15:52:03,,,,-66.0
2024-04-11 15:52:04,,,,-66.0
2024-04-11 15:52:07,,,,-66.0
2024-04-11 15:52:08,-65.0,,-80.0,
2024-04-11 15:52:09,-65.0,,,
2024-04-11 15:52:12,-65.0,,,
2024-04-11 15:52:13,,-58.0,,
2024-04-11 15:52:14,,-58.0,,
2024-04-11 15:52:17,,-58.0,,
2024-04-11 15:52:18,,-58.0,,
2024-04-11 15:52:20,-67.0,,-80.0,
2024-04-11 15:52:22,-67.0,,,
2024-04-11 15:52:26,,,,-63.0
2024-04-11 15:52:27,,,,-63.0
2024-04-11 15:52:29,-66.0,,,
2024-04-11 15:52:31,-66.0,,,
2024-04-11 15:52:32,-66.0,,,
2024-04-11 15:52:33,-66.0,,,
2024-04-11 15:52:35,-69.0,,,
2024-04-11 15:52:37,-69.0,,,
2024-04-11 15:52:38,-65.0,,,
2024-04-11 15:52:40,-65.0,,,
2024-04-11 15:52:42,-65.0,,,
2024-04-11 15:52:44,-64.0,,,-68.0
2024-04-11 15:52:46,-64.0,,,-68.0
2024-04-11 15:52:47,,,-70.0,
2024-04-11 15:52:48,-66.0,,,
2024-04-11 15:52:49,-66.0,,,
2024-04-11 15:52:52,,,,-65.0
2024-04-11 15:52:53,,,,-65.0
2024-04-11 15:52:56,,,-82.0,
2024-04-11 15:53:07,,,,-64.0
2024-04-11 15:53:10,,,,-64.0
