timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T,Xiaomipoco_X3
2024-04-11 15:52:03,,-63.0,-58.0,,
2024-04-11 15:52:04,,-63.0,,,
2024-04-11 15:52:07,,-63.0,,,
2024-04-11 15:52:14,-84.0,,,,
2024-04-11 15:52:17,-84.0,,,,
2024-04-11 15:52:18,-84.0,,,,
2024-04-11 15:52:22,,,,-86.0,
2024-04-11 15:52:25,-83.0,,-59.0,,
2024-04-11 15:52:27,-83.0,,,,
2024-04-11 15:52:29,,-67.0,,,
2024-04-11 15:52:31,,-67.0,,,
2024-04-11 15:52:32,,-67.0,,,
2024-04-11 15:52:35,,-67.0,,,
2024-04-11 15:52:37,,-67.0,,,
2024-04-11 15:52:38,,-69.0,,,
2024-04-11 15:52:40,,-69.0,,,
2024-04-11 15:52:43,,,-56.0,,
2024-04-11 15:52:48,,-71.0,,,
2024-04-11 15:52:49,,-71.0,,,
2024-04-11 15:52:52,,-62.0,,,
2024-04-11 15:52:53,,-62.0,,,
2024-04-11 15:52:57,-70.0,-60.0,,,
2024-04-11 15:52:59,-70.0,-60.0,,,
2024-04-11 15:53:00,-70.0,-60.0,,,
2024-04-11 15:53:01,,-60.0,,,
2024-04-11 15:53:02,-70.0,,,,
2024-04-11 15:53:04,-78.0,,,-83.0,
2024-04-11 15:53:06,-78.0,,,-83.0,
2024-04-11 15:53:10,,-59.0,,,
2024-04-11 15:53:11,,-59.0,,,
2024-04-11 15:53:14,,-70.0,-60.0,-86.0,
2024-04-11 15:53:15,,-70.0,,,
2024-04-11 15:53:16,,,,-86.0,
2024-04-11 15:53:18,,-71.0,,-80.0,
2024-04-11 15:53:20,,-71.0,,-80.0,
2024-04-11 15:53:24,-72.0,-66.0,,,
2024-04-11 15:53:25,-72.0,-66.0,,,
2024-04-11 15:53:28,-74.0,-59.0,,,
2024-04-11 15:53:29,-74.0,-59.0,,,
2024-04-11 15:53:31,-74.0,-59.0,,,
2024-04-11 15:53:33,,-72.0,,,
2024-04-11 15:53:34,,-72.0,,,
2024-04-11 15:53:42,-80.0,,,,
2024-04-11 15:53:43,-80.0,,,,
2024-04-11 15:53:46,,-62.0,,,
2024-04-11 15:53:47,,-62.0,,,
2024-04-11 15:53:50,-78.0,,,-74.0,
2024-04-11 15:53:52,-78.0,,,-74.0,
2024-04-11 15:53:53,-78.0,,,-74.0,
2024-04-11 15:53:54,,-69.0,,,
2024-04-11 15:53:56,,-69.0,,,
2024-04-11 15:53:59,,-58.0,,,
2024-04-11 15:54:00,,-58.0,,,
2024-04-11 15:54:01,,-58.0,,,
2024-04-11 15:54:08,,-63.0,,,-74.0
2024-04-11 15:54:09,,,,,-74.0
2024-04-11 15:54:10,,-63.0,,,-74.0
2024-04-11 15:54:12,,-70.0,,,-74.0
2024-04-11 15:54:14,,-70.0,,,
2024-04-11 15:54:16,,-70.0,,,
2024-04-11 15:54:18,-75.0,,,,
2024-04-11 15:54:19,-75.0,,,,
2024-04-11 15:54:21,-75.0,,,,
2024-04-11 15:54:26,,,-57.0,,-74.0
2024-04-11 15:54:32,,-59.0,,,
2024-04-11 15:54:34,,-59.0,,,
2024-04-11 15:54:35,,-59.0,,,
2024-04-11 15:54:36,,-66.0,-62.0,,-97.0
2024-04-11 15:54:37,,-66.0,,,
2024-04-11 15:54:39,,-66.0,,,
2024-04-11 15:54:43,,-65.0,,,
