timestamp,TechnoCamon_20,Xiaomipoco_X3
2024-04-11 15:51:11,,-79.0
2024-04-11 15:51:12,,-79.0
2024-04-11 15:51:13,,-79.0
2024-04-11 15:51:14,,-79.0
2024-04-11 15:51:26,-71.0,-77.0
2024-04-11 15:51:35,-68.0,
2024-04-11 15:51:37,-68.0,
2024-04-11 15:51:38,-68.0,
2024-04-11 15:51:39,-68.0,
2024-04-11 15:51:40,,-82.0
2024-04-11 15:51:42,,-82.0
2024-04-11 15:51:43,,-82.0
2024-04-11 15:51:44,,-82.0
2024-04-11 15:51:46,-76.0,-82.0
2024-04-11 15:51:47,-76.0,-82.0
2024-04-11 15:51:48,-76.0,-82.0
2024-04-11 15:51:49,-76.0,-82.0
2024-04-11 15:51:51,-74.0,
2024-04-11 15:51:52,-74.0,
2024-04-11 15:51:53,-74.0,
2024-04-11 15:52:00,-75.0,
2024-04-11 15:52:13,-67.0,
2024-04-11 15:52:14,-67.0,
2024-04-11 15:52:15,-67.0,
2024-04-11 15:52:16,-67.0,
2024-04-11 15:52:19,-77.0,
2024-04-11 15:52:20,-77.0,
2024-04-11 15:52:21,-77.0,
2024-04-11 15:52:29,-71.0,-75.0
2024-04-11 15:52:39,-68.0,
2024-04-11 15:52:40,-68.0,
2024-04-11 15:52:42,-68.0,
2024-04-11 15:52:43,-68.0,
2024-04-11 15:52:44,-70.0,-75.0
2024-04-11 15:52:51,-69.0,-77.0
2024-04-11 15:52:52,-69.0,-77.0
2024-04-11 15:52:53,-69.0,-77.0
2024-04-11 15:52:54,-74.0,
2024-04-11 15:53:06,-74.0,-81.0
2024-04-11 15:53:07,,-81.0
2024-04-11 15:53:09,,-81.0
2024-04-11 15:53:10,,-81.0
2024-04-11 15:53:11,,-81.0
2024-04-11 15:53:13,,-81.0
2024-04-11 15:53:23,-75.0,
2024-04-11 15:53:24,-75.0,
2024-04-11 15:53:30,-67.0,-77.0
2024-04-11 15:53:37,-75.0,
2024-04-11 15:53:38,-69.0,
2024-04-11 15:53:49,-68.0,
2024-04-11 15:53:50,-68.0,
2024-04-11 15:53:51,-68.0,
2024-04-11 15:53:52,-67.0,
2024-04-11 15:53:54,-67.0,
2024-04-11 15:53:55,-67.0,
2024-04-11 15:54:12,-69.0,
2024-04-11 15:54:26,-74.0,
2024-04-11 15:54:27,-74.0,
2024-04-11 15:54:28,-74.0,
2024-04-11 15:54:30,-74.0,
2024-04-11 15:54:32,-68.0,
2024-04-11 15:54:34,-68.0,
2024-04-11 15:54:36,-71.0,
2024-04-11 15:54:41,-69.0,-77.0
2024-04-11 15:54:43,-69.0,-77.0
2024-04-11 15:54:44,-74.0,-81.0
2024-04-11 15:54:48,-75.0,
2024-04-11 15:54:49,-75.0,
2024-04-11 15:54:50,-75.0,
2024-04-11 15:54:52,-74.0,-81.0
2024-04-11 15:54:53,,-81.0
2024-04-11 15:54:54,,-81.0
2024-04-11 15:54:55,,-81.0
2024-04-11 15:54:57,-76.0,-81.0
2024-04-11 15:54:59,-76.0,
2024-04-11 15:55:10,,-76.0
2024-04-11 15:55:12,,-76.0
2024-04-11 15:55:14,,-76.0
2024-04-11 15:55:15,,-76.0
2024-04-11 15:55:16,-71.0,
2024-04-11 15:55:17,-71.0,
2024-04-11 15:55:20,-70.0,-77.0
2024-04-11 15:55:24,-75.0,-83.0
2024-04-11 15:55:32,,-80.0
2024-04-11 15:55:34,,-80.0
2024-04-11 15:55:35,,-80.0
2024-04-11 15:55:36,,-80.0
2024-04-11 15:55:37,,-77.0
2024-04-11 15:55:38,,-77.0
2024-04-11 15:55:39,,-77.0
2024-04-11 15:55:40,,-82.0
2024-04-11 15:55:42,,-82.0
2024-04-11 15:55:43,,-82.0
2024-04-11 15:55:47,,-77.0
2024-04-11 15:55:48,,-77.0
2024-04-11 15:55:49,,-77.0
2024-04-11 15:55:54,,-77.0
2024-04-11 15:55:56,,-77.0
2024-04-11 15:55:58,,-77.0
2024-04-11 15:56:04,-77.0,
2024-04-11 15:56:13,,-80.0
2024-04-11 15:56:14,,-80.0
2024-04-11 15:56:15,,-80.0
2024-04-11 15:56:16,,-80.0
2024-04-11 15:56:17,,-77.0
2024-04-11 15:56:21,,-80.0
2024-04-11 15:56:22,,-80.0
2024-04-11 15:56:24,,-80.0
2024-04-11 15:56:25,-74.0,-83.0
2024-04-11 15:56:29,-75.0,-81.0
2024-04-11 15:56:31,-75.0,
2024-04-11 15:56:32,-75.0,
2024-04-11 15:56:34,-75.0,
2024-04-11 15:56:48,,-79.0
2024-04-11 15:56:52,,-82.0
2024-04-11 15:56:56,-76.0,-80.0
2024-04-11 15:56:57,-76.0,
2024-04-11 15:56:58,-76.0,
2024-04-11 15:56:59,-76.0,
2024-04-11 15:57:01,-75.0,
2024-04-11 15:57:02,-75.0,
2024-04-11 15:57:03,-75.0,
2024-04-11 15:57:04,-75.0,
2024-04-11 15:57:05,,-81.0
2024-04-11 15:57:07,,-81.0
2024-04-11 15:57:08,,-81.0
2024-04-11 15:57:10,,-81.0
2024-04-11 15:57:11,,-81.0
2024-04-11 15:57:16,-78.0,
2024-04-11 15:57:17,-78.0,
2024-04-11 15:57:19,-78.0,
2024-04-11 15:57:20,-71.0,
2024-04-11 15:57:30,-69.0,-78.0
2024-04-11 15:57:34,-70.0,-78.0
2024-04-11 15:57:35,-70.0,
