timestamp,TechnoCamon_20,Xiaomi_10T,Xiaomipoco_X3
2024-04-11 15:51:10,,,-61.0
2024-04-11 15:51:11,,,-61.0
2024-04-11 15:51:13,,,-61.0
2024-04-11 15:51:20,,,-59.0
2024-04-11 15:51:33,,,-61.0
2024-04-11 15:51:35,,,-61.0
2024-04-11 15:51:38,,,-59.0
2024-04-11 15:51:44,,,-59.0
2024-04-11 15:51:46,,,-59.0
2024-04-11 15:51:48,-57.0,-75.0,-59.0
2024-04-11 15:51:49,-57.0,-75.0,-59.0
2024-04-11 15:51:51,,-75.0,-59.0
2024-04-11 15:51:52,,-75.0,-59.0
2024-04-11 15:51:53,,-75.0,
2024-04-11 15:51:54,,-75.0,
2024-04-11 15:52:01,,,-60.0
2024-04-11 15:52:02,,,-60.0
2024-04-11 15:52:03,,,-60.0
2024-04-11 15:52:11,-58.0,,-61.0
2024-04-11 15:52:12,-58.0,,-61.0
2024-04-11 15:52:13,-58.0,,-61.0
2024-04-11 15:52:14,-58.0,,
2024-04-11 15:52:17,-57.0,-73.0,-58.0
2024-04-11 15:52:18,-57.0,,-58.0
2024-04-11 15:52:20,,,-58.0
2024-04-11 15:52:22,-56.0,,-60.0
2024-04-11 15:52:24,-56.0,,-60.0
2024-04-11 15:52:25,,,-60.0
2024-04-11 15:52:26,,,-58.0
2024-04-11 15:52:27,,,-58.0
2024-04-11 15:52:29,,,-58.0
2024-04-11 15:52:31,,,-60.0
2024-04-11 15:52:33,,,-60.0
2024-04-11 15:52:34,,,-60.0
2024-04-11 15:52:37,,-75.0,
2024-04-11 15:52:38,,-75.0,
2024-04-11 15:52:39,,-75.0,
2024-04-11 15:52:40,,-75.0,-60.0
2024-04-11 15:52:42,,-75.0,-60.0
2024-04-11 15:52:43,,-75.0,-60.0
2024-04-11 15:52:44,,-75.0,
2024-04-11 15:52:46,,,-59.0
2024-04-11 15:52:47,,,-59.0
2024-04-11 15:52:53,-57.0,,-61.0
2024-04-11 15:52:55,,,-61.0
2024-04-11 15:52:56,,,-61.0
2024-04-11 15:53:00,-53.0,,-65.0
2024-04-11 15:53:01,-53.0,,-65.0
2024-04-11 15:53:02,-53.0,,-65.0
2024-04-11 15:53:04,-53.0,,-65.0
2024-04-11 15:53:07,,,-65.0
2024-04-11 15:53:09,,,-65.0
2024-04-11 15:53:10,,-71.0,-65.0
2024-04-11 15:53:11,,,-65.0
2024-04-11 15:53:15,,-70.0,-61.0
2024-04-11 15:53:16,,,-61.0
2024-04-11 15:53:18,,,-61.0
2024-04-11 15:53:19,,,-59.0
2024-04-11 15:53:20,,,-59.0
2024-04-11 15:53:21,,,-59.0
2024-04-11 15:53:23,,,-59.0
2024-04-11 15:53:29,,,-63.0
2024-04-11 15:53:30,,,-63.0
2024-04-11 15:53:32,,,-63.0
2024-04-11 15:53:34,-57.0,,-60.0
2024-04-11 15:53:36,-57.0,,-60.0
2024-04-11 15:53:37,,,-60.0
2024-04-11 15:53:39,,,-58.0
2024-04-11 15:53:41,,,-58.0
2024-04-11 15:53:43,,,-60.0
2024-04-11 15:53:45,,,-60.0
2024-04-11 15:53:46,,,-60.0
2024-04-11 15:53:47,-56.0,,-61.0
2024-04-11 15:53:48,-56.0,,-61.0
2024-04-11 15:53:51,-57.0,,-59.0
2024-04-11 15:53:52,-57.0,,
2024-04-11 15:53:56,-57.0,,-59.0
2024-04-11 15:53:58,-57.0,,-59.0
2024-04-11 15:53:59,,,-59.0
2024-04-11 15:54:00,,,-59.0
2024-04-11 15:54:01,,,-59.0
2024-04-11 15:54:02,,,-59.0
2024-04-11 15:54:05,-58.0,,-58.0
2024-04-11 15:54:06,-58.0,,-58.0
2024-04-11 15:54:14,-57.0,-72.0,
2024-04-11 15:54:25,,,-59.0
2024-04-11 15:54:29,,,-59.0
2024-04-11 15:54:30,,,-59.0
2024-04-11 15:54:31,,,-59.0
2024-04-11 15:54:34,-56.0,,-63.0
2024-04-11 15:54:35,-56.0,,-63.0
2024-04-11 15:54:39,-58.0,,
2024-04-11 15:54:40,-58.0,,
2024-04-11 15:54:41,-58.0,,
2024-04-11 15:54:48,,,-59.0
2024-04-11 15:54:49,,,-59.0
2024-04-11 15:54:52,,-71.0,
2024-04-11 15:54:57,-53.0,-69.0,-61.0
2024-04-11 15:54:58,-53.0,,-61.0
2024-04-11 15:54:59,,,-61.0
2024-04-11 15:55:02,,,-60.0
2024-04-11 15:55:03,,,-60.0
2024-04-11 15:55:06,-57.0,,-60.0
2024-04-11 15:55:07,-57.0,,-60.0
2024-04-11 15:55:08,-57.0,,-60.0
2024-04-11 15:55:12,-54.0,-6.0,-62.0
2024-04-11 15:55:14,-54.0,-68.0,
2024-04-11 15:55:15,,-68.0,
2024-04-11 15:55:16,-53.0,,-58.0
2024-04-11 15:55:18,-53.0,,-58.0
2024-04-11 15:55:20,,,-58.0
2024-04-11 15:55:25,,,-61.0
2024-04-11 15:55:27,,,-61.0
2024-04-11 15:55:29,,,-63.0
2024-04-11 15:55:30,,,-63.0
2024-04-11 15:55:32,,,-63.0
