timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:49:41,-56.0,,
2024-04-11 15:49:44,-57.0,-55.0,-68.0
2024-04-11 15:49:50,,-51.0,
2024-04-11 15:49:55,-51.0,-48.0,-73.0
2024-04-11 15:49:57,-51.0,,
2024-04-11 15:49:58,-51.0,,
2024-04-11 15:50:00,-51.0,,
2024-04-11 15:50:01,-56.0,-55.0,
2024-04-11 15:50:06,,-52.0,-66.0
2024-04-11 15:50:07,,-52.0,
2024-04-11 15:50:08,,-53.0,
2024-04-11 15:50:09,,,-66.0
2024-04-11 15:50:13,-62.0,,
2024-04-11 15:50:16,-62.0,,
2024-04-11 15:50:17,-62.0,-49.0,
2024-04-11 15:50:22,,-52.0,
2024-04-11 15:50:27,-57.0,-52.0,-67.0
2024-04-11 15:50:28,,-52.0,
2024-04-11 15:50:32,,-54.0,-63.0
2024-04-11 15:50:33,,-54.0,-63.0
2024-04-11 15:50:36,,,-63.0
2024-04-11 15:50:37,,,-64.0
2024-04-11 15:50:38,,,-64.0
2024-04-11 15:50:40,,,-64.0
2024-04-11 15:50:42,,,-57.0
2024-04-11 15:50:47,-57.0,-54.0,-58.0
2024-04-11 15:50:48,-57.0,,-58.0
2024-04-11 15:50:51,,,-58.0
2024-04-11 15:50:52,,-52.0,-71.0
2024-04-11 15:50:53,,-52.0,-71.0
2024-04-11 15:50:55,,-52.0,
2024-04-11 15:50:56,,,-71.0
2024-04-11 15:50:57,-72.0,-55.0,-59.0
2024-04-11 15:50:58,-72.0,,-59.0
2024-04-11 15:51:00,-72.0,,
2024-04-11 15:51:01,,,-59.0
2024-04-11 15:51:02,-57.0,-56.0,-62.0
2024-04-11 15:51:03,,-56.0,-62.0
2024-04-11 15:51:04,,-56.0,
2024-04-11 15:51:06,,,-62.0
2024-04-11 15:51:07,-63.0,-56.0,-63.5
2024-04-11 15:51:08,-63.0,,-65.0
2024-04-11 15:51:09,-63.0,,
2024-04-11 15:51:10,,,-65.0
2024-04-11 15:51:11,,,-65.0
2024-04-11 15:51:12,,-56.0,-60.0
2024-04-11 15:51:18,-57.0,,-60.0
2024-04-11 15:51:19,,,-60.0
2024-04-11 15:51:22,,,-60.0
