timestamp,TechnoCamon_20,Xiaomi_10T,Xiaomipoco_X3
2024-04-11 15:46:12,,-71.0,-62.0
2024-04-11 15:46:13,,-71.0,
2024-04-11 15:46:14,,-71.0,
2024-04-11 15:46:15,,-71.0,
2024-04-11 15:46:17,,-71.0,
2024-04-11 15:46:18,,-71.0,
2024-04-11 15:46:19,,-71.0,
2024-04-11 15:46:21,,-71.0,
2024-04-11 15:46:22,,-71.0,
2024-04-11 15:46:30,,-74.0,
2024-04-11 15:46:31,,-74.0,
2024-04-11 15:46:33,,-74.0,
2024-04-11 15:46:34,,,-60.0
2024-04-11 15:46:36,,,-60.0
2024-04-11 15:46:37,,,-60.0
2024-04-11 15:46:39,,-71.0,
2024-04-11 15:46:46,,,-59.0
2024-04-11 15:46:47,,,-59.0
2024-04-11 15:46:48,,,-59.0
2024-04-11 15:46:55,,-76.0,
2024-04-11 15:46:59,-68.0,,
2024-04-11 15:47:00,-68.0,,
2024-04-11 15:47:10,,-68.0,
2024-04-11 15:47:13,,-66.0,
2024-04-11 15:47:37,,-69.0,-66.0
2024-04-11 15:47:38,,,-66.0
2024-04-11 15:47:40,,,-66.0
2024-04-11 15:47:42,,,-69.0
2024-04-11 15:47:43,,,-69.0
2024-04-11 15:47:58,-68.0,,
2024-04-11 15:47:59,-68.0,,
2024-04-11 15:48:02,,-70.0,
2024-04-11 15:48:03,,-70.0,
2024-04-11 15:48:04,,-70.0,
2024-04-11 15:48:05,,-70.0,
2024-04-11 15:48:06,-68.0,,
2024-04-11 15:48:10,,-70.0,
2024-04-11 15:48:12,,-70.0,
2024-04-11 15:48:13,,-70.0,
2024-04-11 15:48:14,-69.0,,
2024-04-11 15:48:15,-69.0,,
2024-04-11 15:48:18,,,-69.0
2024-04-11 15:48:19,-66.0,,-69.0
2024-04-11 15:48:20,,-67.0,
2024-04-11 15:48:21,,-67.0,
2024-04-11 15:48:22,-66.0,-67.0,
2024-04-11 15:48:24,-66.0,,
2024-04-11 15:48:29,,-67.0,
2024-04-11 15:48:50,,,-62.0
2024-04-11 15:48:53,-69.0,,
2024-04-11 15:48:55,-69.0,,
2024-04-11 15:48:56,-69.0,,
2024-04-11 15:49:29,-72.0,,
2024-04-11 15:49:33,-70.0,,
2024-04-11 15:49:34,-70.0,,
2024-04-11 15:49:39,,-73.0,
2024-04-11 15:49:43,-69.0,,
2024-04-11 15:49:44,-69.0,,
2024-04-11 15:49:45,-69.0,,
2024-04-11 15:49:48,-67.0,-68.0,
2024-04-11 15:49:49,-67.0,,
