Unique signal strength of Vivo,Average Signal Strength
-58.0,
-66.0,-55.833333333333336
-64.0,-55.4
-63.0,-54.5
-69.0,-56.0
-59.0,-48.0
-70.0,
-67.0,-51.5
-62.0,-56.5
-61.0,-58.6
-68.0,-56.5
-60.0,
-65.0,-54.666666666666664
-73.0,
