Unique signal strength of Vivo,Average Signal Strength
-72.0,-70.0
-74.0,-77.0
-70.0,-71.66666666666667
-78.0,-70.0
-69.0,-67.5
-73.0,-71.5
-75.0,
-68.0,-71.0
-67.0,
-77.0,-70.5
-76.0,-71.66666666666667
-71.0,-73.8
