Unique signal strength of Vivo,Average Signal Strength
-62.0,-53.0
-60.0,-55.55
-58.0,-54.4
-53.0,-48.0
-61.0,-55.266666666666666
-64.0,-52.2
-63.0,-52.0
-66.0,-53.0
-59.0,-55.22222222222222
-57.0,-53.25
-80.0,-53.0
-55.0,
