Unique signal strength of Vivo,Average Signal Strength
-62.0,-70.0
-60.0,-69.0
-59.0,
-66.0,
-69.0,-66.0
-63.0,-67.0
-67.0,
-64.0,-70.42857142857143
-74.0,
-68.0,
-61.0,
-65.0,
