Unique signal strength of Vivo,Average Signal Strength
-70.0,
-78.0,
-83.0,-67.0
-77.0,-69.33333333333333
-88.0,-66.0
-75.0,-68.0
-82.0,-64.0
-91.0,-68.0
-76.0,-68.5
-86.0,
-95.0,
-81.0,
-80.0,
-79.0,
-85.0,-67.0
-84.0,-75.0
-74.0,
