Unique signal strength of Vivo,Average Signal Strength
-71.0,-86.66666666666667
-70.0,-85.33333333333333
-73.0,
-73.5,
-76.0,-84.28571428571429
-69.0,
-74.0,
-75.0,-86.5
-77.0,-78.0
-72.0,
-80.0,
-68.0,
