Unique signal strength of Vivo,Average Signal Strength
-66.0,-67.0909090909091
-68.0,-76.5
-70.0,-79.0
-72.0,-78.5
-69.0,
-73.0,-76.33333333333333
-67.0,-73.0
-65.0,-73.625
-75.0,-79.0
-71.0,-76.5
-64.0,-72.0
-63.0,
