Unique signal strength of Vivo,Average Signal Strength
-87.0,
-78.0,-81.0
-76.0,
-75.0,
-74.0,
-97.0,
-80.0,-74.0
-77.0,-75.0
-92.0,
-71.0,
-81.0,
-79.0,-80.0
-73.0,
-86.0,
-82.0,
-72.0,-75.0
