Unique signal strength of Vivo,Average Signal Strength
-62.0,-70.0
-60.0,-70.0
-59.0,
-66.0,-68.0
-69.0,
-63.0,-72.0
-67.0,
-64.0,-66.0
-74.0,
-68.0,
-61.0,-73.0
-65.0,-68.0
