Unique signal strength of Vivo,Average Signal Strength
-81.0,-76.29411764705883
-74.0,
-78.0,-74.3
-80.0,-75.33333333333333
-89.0,
-83.0,-78.0
-82.0,-75.9375
-79.0,-76.5
-85.0,
-76.0,-84.0
-93.0,
-86.0,
-75.0,-70.0
-8.0,
-72.0,
-77.0,-76.0
-71.0,
