Unique signal strength of Vivo,Average Signal Strength
-87.0,
-78.0,-61.0
-76.0,-63.0
-75.0,-65.0
-74.0,-65.33333333333333
-97.0,-66.0
-80.0,-66.6
-77.0,-68.5
-92.0,
-71.0,-63.5
-81.0,-64.5
-79.0,-65.66666666666667
-73.0,-64.0
-86.0,-68.5
-82.0,-73.0
-72.0,-59.0
