Unique signal strength of Vivo,Average Signal Strength
-87.0,
-78.0,
-76.0,-58.0
-75.0,
-74.0,-57.0
-97.0,-62.0
-80.0,-60.0
-77.0,-57.5
-92.0,
-71.0,
-81.0,
-79.0,-61.0
-73.0,-59.0
-86.0,
-82.0,
-72.0,
