Unique signal strength of Vivo,Average Signal Strength
-61.0,-70.66666666666667
-57.0,-70.0
-56.0,
-53.0,
-54.0,
-58.0,-72.5
-62.0,-52.0
-60.0,-73.7
-63.0,-70.4
-59.0,-73.81818181818181
-64.0,
-75.0,
-66.0,
-65.0,-70.5
-78.0,-68.0
