Unique signal strength of Vivo,Average Signal Strength
-66.0,-73.55555555555556
-70.0,-76.0
-71.0,-75.75
-73.0,-70.0
-65.0,-73.46153846153847
-68.0,-74.66666666666667
-69.0,-74.6
-64.0,-73.0
-63.0,-72.0
-74.0,-75.0
-70.5,
-67.0,-74.375
-65.5,
-62.0,
-72.0,-77.66666666666667
-75.0,-81.0
-66.5,
-77.0,
-60.0,
