mac_address,ssid,timestamp,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
FE:47:AD:D7:13:E2,1,2023-12-21 12:51:52,2417,2422,2412,-80,-72,-94
9A:BE:89:99:70:FB,2,2023-12-21 12:51:52,2442,2442,2437,-31,-69,-84
