id,title,lat,lng
4,101,7.065735102,125.5964779
5,102,7.065739094,125.5964665
6,103,7.065742754,125.5964558
7,104,7.065745916,125.5964449
8,105,7.065749742,125.596433
9,106,7.065753569,125.5964215
10,107,7.06575756,125.5964111
11,108,7.06576122,125.596401
12,109,7.065765712,125.5963898
13,110,7.065769289,125.5963777
15,112,7.065746917,125.5964692
16,111,7.065743091,125.5964811
17,113,7.065750245,125.5964587
18,114,7.065753406,125.5964483
19,115,7.065757565,125.5964365
20,116,7.065761724,125.5964248
21,117,7.0657658,125.5964142
22,118,7.065769459,125.5964039
23,119,7.065773158,125.5963928
24,120,7.065777899,125.5963808
25,121,7.065750412,125.5964839
26,122,7.065754321,125.596472
27,123,7.065757899,125.5964619
28,124,7.065761476,125.5964515
29,125,7.065766212,125.5964396
30,126,7.065770958,125.5964274
31,127,7.06577495,125.5964168
32,128,7.065778692,125.596407
33,129,7.065782934,125.596396
34,130,7.065786966,125.5963842
35,131,7.065758398,125.5964874
36,132,7.065762891,125.5964756
37,133,7.065766551,125.596465
38,134,7.065770876,125.5964548
39,135,7.065775528,125.5964429
40,136,7.065780108,125.5964311
41,137,7.065783685,125.5964211
42,138,7.065786928,125.5964115
43,139,7.065791918,125.596399
44,140,7.065795661,125.5963876
45,141,7.065768042,125.5964915
46,142,7.065772202,125.5964798
47,143,7.065777109,125.5964691
48,144,7.06578052,125.5964578
49,145,7.065785265,125.5964474
50,146,7.065789174,125.596436
51,147,7.065793001,125.5964251
52,148,7.065795912,125.5964147
53,149,7.0658004,125.5964026
54,150,7.065804644,125.5963908
55,151,7.06577753,125.5964949
56,152,7.065781517,125.5964835
57,153,7.065785183,125.5964722
58,154,7.065789343,125.5964619
59,155,7.065793335,125.596451
60,156,7.065797327,125.5964389
61,157,7.065800987,125.5964283
62,158,7.065804813,125.5964186
63,159,7.065809636,125.596406
64,160,7.065814044,125.5963943
65,161,7.065786348,125.5964984
66,162,7.065790175,125.5964868
67,163,7.065793835,125.5964758
68,164,7.065797661,125.596466
69,165,7.065801321,125.5964541
70,166,7.065806145,125.5964424
71,167,7.06581047,125.5964317
72,168,7.065813797,125.596422
73,169,7.065818455,125.5964094
74,170,7.065823029,125.5963977
75,171,7.065795657,125.5965024
76,172,7.065798827,125.5964909
77,173,7.065802986,125.5964803
78,174,7.065806813,125.5964699
79,175,7.065811304,125.5964582
80,176,7.065815296,125.5964458
81,177,7.065818789,125.5964354
82,178,7.065821785,125.5964248
83,179,7.065825778,125.5964129
84,180,7.065830511,125.5964005
85,181,7.065809466,125.5964947
86,182,7.065813792,125.5964836
87,183,7.065817452,125.5964736
88,184,7.065820947,125.596462
89,185,7.065824607,125.596451
90,186,7.065827768,125.5964389
91,187,7.065830763,125.5964283
92,188,7.065841076,125.596433
93,189,7.065837087,125.5964439
94,1,7.065630791,125.5964374
95,9,7.065641272,125.5964413
96,2,7.065634949,125.5964268
97,3,7.065639109,125.5964159
98,4,7.0656436,125.5964044
99,5,7.065647759,125.5963931
100,6,7.065652085,125.5963812
101,7,7.065656577,125.5963693
102,8,7.065664064,125.59635
103,17,7.065652582,125.5964464
