floorid,roomid,channel,ssid,cap1,cap2,cap3
1,214,2462,Vivo Y21T,-81,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Vivo Y21T,-81,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Vivo Y21T,-81,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-77,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-77,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-77,,
1,214,2462,Xiaomi,-82,,
1,214,2452,Vivo Y21T,-77,,
1,214,2462,Xiaomi,-82,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Vivo Y21T,-82,,
1,214,2462,Vivo Y21T,,-61,
1,214,2447,Vivo Y21T,,-71,
1,214,2462,Vivo Y21T,,-58,
1,214,2452,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-57,
1,214,2452,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-57,
1,214,2452,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-57,
1,214,2452,Xiaomi,,-63,
1,214,2457,Vivo Y21T,,-62,
1,214,2452,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-57,
1,214,2452,Xiaomi,,-63,
1,214,2457,Vivo Y21T,,-67,
1,214,2457,Xiaomi,,-58,
1,214,2462,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-58,
1,214,2462,Vivo Y21T,,-58,
1,214,2462,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-58,
1,214,2462,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-62,
1,214,2457,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-62,
1,214,2457,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-62,
1,214,2457,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-57,
1,214,2452,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-57,
1,214,2452,Xiaomi,,-63,
1,214,2462,Xiaomi,,-63,
1,214,2462,Xiaomi,-82,,
1,214,2462,Vivo Y21T,-82,,
1,214,2462,Xiaomi,-82,,
1,214,2462,Vivo Y21T,-92,,
1,214,2457,Xiaomi,-80,,
1,214,2457,Vivo Y21T,-73,,
1,214,2457,Xiaomi,-80,,
1,214,2462,Vivo Y21T,-77,,
1,214,2457,Xiaomi,-80,,
1,214,2462,Vivo Y21T,-77,,
1,214,2457,Xiaomi,-80,,
1,214,2462,Vivo Y21T,-77,,
1,214,2457,Xiaomi,-80,,
1,214,2457,Vivo Y21T,-82,,
1,214,2457,Xiaomi,-80,,
1,214,2457,Vivo Y21T,-82,,
1,214,2457,Xiaomi,-80,,
1,214,2462,Xiaomi,-81,,
1,214,2457,Vivo Y21T,-82,,
1,214,2457,Vivo Y21T,-82,,
1,214,2462,Xiaomi,-84,,
1,214,2457,Vivo Y21T,-80,,
1,214,2462,Xiaomi,-84,,
1,214,2457,Vivo Y21T,-80,,
1,214,2462,Xiaomi,-84,,
1,214,2457,Vivo Y21T,-80,,
1,214,2462,Xiaomi,-77,,
1,214,2452,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-77,,
1,214,2462,Vivo Y21T,-81,,
1,214,2462,Xiaomi,-77,,
1,214,2462,Vivo Y21T,-81,,
1,214,2462,Xiaomi,-77,,
1,214,2457,Xiaomi,-80,,
1,214,2462,Vivo Y21T,-92,,
1,214,2462,Xiaomi,-81,,
1,214,2447,Vivo Y21T,,-71,
1,214,2452,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-78,,
1,214,2457,Xiaomi,-74,,
1,214,2452,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-82,,
1,214,2452,Vivo Y21T,-78,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-82,,
1,214,2452,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-82,,
1,214,2457,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-78,,
1,214,2457,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-81,,
1,214,2462,Vivo Y21T,-92,,
1,214,2462,Vivo Y21T,-82,,
1,214,2457,Xiaomi,-74,,
2,214,2462,Xiaomi,,-52,
2,214,2462,Xiaomi,,-54,
2,214,2452,Xiaomi,,-61,
2,214,2462,Vivo Y21T,,-65,
2,214,2452,Xiaomi,,-61,
2,214,2452,Xiaomi,,-61,
2,214,2462,Vivo Y21T,,-60,
2,214,2452,Xiaomi,,-61,
2,214,2462,Vivo Y21T,,-60,
2,214,2452,Xiaomi,,-61,
2,214,2462,Vivo Y21T,,-60,
2,214,2462,Xiaomi,,-54,
2,214,2462,Vivo Y21T,,-58,
2,214,2462,Vivo Y21T,,-65,
2,214,2462,Vivo Y21T,,-60,
2,214,2462,Xiaomi,,-57,
2,214,2457,Xiaomi,,-65,
2,214,2462,Xiaomi,,-57,
2,214,2462,Vivo Y21T,,-58,
2,214,2462,Xiaomi,,-58,
2,214,2462,Vivo Y21T,,-58,
2,214,2462,Xiaomi,,-58,
2,214,2462,Vivo Y21T,,-58,
2,214,2462,Xiaomi,,-58,
2,214,2462,Vivo Y21T,,-58,
2,214,2462,Xiaomi,,-58,
2,214,2462,Vivo Y21T,,-55,
2,214,2447,Vivo Y21T,,-70,
2,214,2462,Vivo Y21T,,-70,
2,214,2462,Xiaomi,,-67,
2,214,2462,Xiaomi,,-67,
2,214,2457,Vivo Y21T,,-63,
2,214,2452,Xiaomi,,-70,
2,214,2462,Vivo Y21T,,-63,
2,214,2462,Xiaomi,,-60,
2,214,2462,Vivo Y21T,,-63,
2,214,2462,Xiaomi,,-60,
2,214,2462,Xiaomi,,-67,
2,214,2462,Vivo Y21T,,-63,
2,214,2462,Xiaomi,,-57,
2,214,2462,Vivo Y21T,,-58,
2,214,2457,Vivo Y21T,,-66,
2,214,2457,Xiaomi,,-74,
2,214,2457,Vivo Y21T,,-65,
2,214,2457,Xiaomi,,-68,
2,214,2457,Xiaomi,,-68,
2,214,2457,Vivo Y21T,,-65,
2,214,2457,Xiaomi,,-68,
2,214,2447,Vivo Y21T,,-70,
2,214,2462,Xiaomi,,-64,
2,214,2462,Vivo Y21T,,-55,
2,214,2457,Vivo Y21T,,-52,
2,214,2457,Vivo Y21T,,-52,
2,214,2462,Xiaomi,,-64,
2,214,2457,Vivo Y21T,,-52,
2,214,2462,Xiaomi,,-64,
2,214,2457,Vivo Y21T,,-52,
2,214,2457,Xiaomi,,-62,
2,214,2447,Vivo Y21T,,-75,
2,214,2462,Xiaomi,,-57,
2,214,2462,Vivo Y21T,,-55,
2,214,2462,Xiaomi,,-64,
2,214,2452,Xiaomi,,-67,
2,214,2462,Xiaomi,,-60,
2,214,2462,Xiaomi,,-60,
2,214,2462,Xiaomi,,-54,
2,214,2462,Vivo Y21T,,-54,
2,214,2462,Xiaomi,,-54,
2,214,2462,Vivo Y21T,,-54,
2,214,2462,Xiaomi,,-54,
2,214,2457,Vivo Y21T,,-56,
2,214,2457,Xiaomi,,-64,
2,214,2462,Vivo Y21T,,-64,
2,214,2462,Xiaomi,,-51,
2,214,2447,Vivo Y21T,,-77,
2,214,2462,Vivo Y21T,,-64,
2,214,2462,Vivo Y21T,,-64,
2,214,2462,Xiaomi,,-51,
2,214,2462,Vivo Y21T,,-55,
2,214,2452,Xiaomi,,-58,
2,214,2462,Vivo Y21T,,-55,
2,214,2457,Xiaomi,,-65,
2,214,2462,Vivo Y21T,,-55,
2,214,2457,Xiaomi,,-65,
2,214,2462,Vivo Y21T,,-55,
2,214,2462,Xiaomi,,-51,
2,214,2462,Vivo Y21T,,-63,
2,214,2462,Xiaomi,,-54,
2,214,2462,Xiaomi,,-59,
2,214,2462,Vivo Y21T,,-60,
2,214,2462,Xiaomi,,-57,
2,214,2462,Vivo Y21T,,-60,
2,214,2462,Xiaomi,,-57,
2,214,2462,Vivo Y21T,,-60,
2,214,2462,Xiaomi,,-57,
2,214,2457,Vivo Y21T,,-72,
2,214,2457,Xiaomi,,-59,
2,214,2462,Vivo Y21T,,-55,
2,214,2447,Vivo Y21T,,-77,
2,214,2462,Xiaomi,,-53,
2,214,2462,Xiaomi,,-53,
2,214,2462,Vivo Y21T,,-55,
2,214,2462,Xiaomi,,-53,
2,214,2452,Vivo Y21T,,-68,
2,214,2452,Xiaomi,,-64,
2,214,2462,Vivo Y21T,,-68,
2,214,2462,Xiaomi,,-59,
2,214,2462,Xiaomi,,-59,
2,214,2462,Vivo Y21T,,-68,
2,214,2462,Vivo Y21T,,-55,
2,214,2462,Xiaomi,,-54,
2,214,2462,Vivo Y21T,,-65,
2,214,2462,Xiaomi,,-54,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,,-58,
2,214,2457,Vivo Y21T,-75,,
2,214,2457,Vivo Y21T,-75,,
2,214,2457,Vivo Y21T,-75,,
2,214,2457,Vivo Y21T,-75,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Vivo Y21T,-73,,
2,214,2457,Xiaomi,-80,,
2,214,2457,Vivo Y21T,-73,,
2,214,2457,Xiaomi,-80,,
2,214,2457,Vivo Y21T,-73,,
2,214,2457,Xiaomi,-80,,
2,214,2457,Vivo Y21T,-78,,
2,214,2462,Xiaomi,-82,,
2,214,2457,Xiaomi,-80,,
2,214,2457,Vivo Y21T,-78,,
2,214,2462,Xiaomi,-82,,
2,214,2457,Vivo Y21T,-78,,
2,214,2462,Xiaomi,-82,,
2,214,2457,Xiaomi,-84,,
2,214,2462,Vivo Y21T,-75,,
2,214,2457,Vivo Y21T,,-56,
2,214,2457,Xiaomi,,-54,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,,-58,
2,214,2462,Vivo Y21T,-85,,
2,214,2457,Vivo Y21T,-76,,
2,214,2457,Xiaomi,-80,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Xiaomi,,-52,
2,214,2462,Vivo Y21T,-84,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Xiaomi,-80,,
2,214,2457,Xiaomi,-80,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,-85,,
2,214,2457,Vivo Y21T,-79,,
2,214,2457,Xiaomi,-80,,
2,214,2462,Vivo Y21T,-85,,
2,214,2462,Vivo Y21T,-84,,
2,214,2457,Xiaomi,-80,,
3,214,2447,Xiaomi,,-72,
3,214,2462,Vivo Y21T,,-58,
3,214,2462,Xiaomi,,-52,
3,214,2462,Vivo Y21T,,-57,
3,214,2462,Xiaomi,,-52,
3,214,2462,Vivo Y21T,,-57,
3,214,2457,Xiaomi,,-55,
3,214,2462,Vivo Y21T,,-57,
3,214,2457,Vivo Y21T,,-66,
3,214,2462,Xiaomi,,-51,
3,214,2462,Vivo Y21T,,-66,
3,214,2462,Vivo Y21T,,-58,
3,214,2462,Xiaomi,,-51,
3,214,2447,Xiaomi,,-70,
3,214,2462,Xiaomi,,-52,
3,214,2462,Vivo Y21T,,-64,
3,214,2462,Xiaomi,,-52,
3,214,2462,Vivo Y21T,,-64,
3,214,2457,Xiaomi,,-53,
3,214,2462,Vivo Y21T,,-64,
3,214,2457,Xiaomi,,-53,
3,214,2462,Vivo Y21T,,-64,
3,214,2457,Xiaomi,,-53,
3,214,2457,Xiaomi,,-53,
3,214,2462,Vivo Y21T,,-62,
3,214,2462,Xiaomi,,-58,
3,214,2462,Vivo Y21T,,-62,
3,214,2462,Xiaomi,,-58,
3,214,2462,Vivo Y21T,,-62,
3,214,2462,Vivo Y21T,,-66,
3,214,2462,Vivo Y21T,,-58,
3,214,2462,Xiaomi,,-51,
3,214,2462,Vivo Y21T,-84,,
3,214,2457,Xiaomi,,-59,
3,214,2462,Xiaomi,,-58,
3,214,2462,Xiaomi,-83,,
3,214,2457,Vivo Y21T,-75,,
3,214,2462,Xiaomi,-83,,
3,214,2457,Vivo Y21T,-75,,
3,214,2462,Xiaomi,-83,,
3,214,2457,Vivo Y21T,-75,,
3,214,2462,Xiaomi,-83,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-83,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-83,,
3,214,2462,Vivo Y21T,-84,,
3,214,2457,Xiaomi,-79,,
3,214,2457,Xiaomi,-79,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Vivo Y21T,,-69,
3,214,2462,Vivo Y21T,,-59,
3,214,2457,Xiaomi,,-59,
3,214,2462,Vivo Y21T,,-59,
3,214,2457,Xiaomi,,-59,
3,214,2462,Vivo Y21T,,-59,
3,214,2462,Xiaomi,,-51,
3,214,2452,Vivo Y21T,,-60,
3,214,2457,Vivo Y21T,,-66,
3,214,2457,Vivo Y21T,,-66,
3,214,2462,Xiaomi,,-51,
3,214,2457,Vivo Y21T,,-66,
3,214,2447,Xiaomi,,-71,
3,214,2447,Vivo Y21T,,-72,
3,214,2457,Xiaomi,,-55,
3,214,2462,Xiaomi,,-51,
3,214,2452,Vivo Y21T,,-64,
3,214,2462,Xiaomi,,-60,
3,214,2462,Vivo Y21T,,-60,
3,214,2462,Xiaomi,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-81,,
3,214,2457,Xiaomi,-80,,
3,214,2462,Vivo Y21T,-81,,
3,214,2457,Xiaomi,-80,,
3,214,2462,Vivo Y21T,-81,,
3,214,2462,Vivo Y21T,-81,,
3,214,2462,Vivo Y21T,-81,,
3,214,2462,Vivo Y21T,-81,,
3,214,2457,Xiaomi,-80,,
3,214,2462,Vivo Y21T,-88,,
3,214,2457,Xiaomi,-80,,
3,214,2462,Vivo Y21T,-88,,
3,214,2457,Xiaomi,-80,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-81,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-81,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-81,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-81,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-81,,
3,214,2457,Xiaomi,-80,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-88,,
3,214,2462,Vivo Y21T,-88,,
3,214,2452,Xiaomi,-82,,
3,214,2457,Vivo Y21T,-84,,
3,214,2452,Xiaomi,-82,,
3,214,2462,Vivo Y21T,-80,,
3,214,2452,Xiaomi,-82,,
3,214,2462,Vivo Y21T,-80,,
3,214,2457,Vivo Y21T,-84,,
3,214,2452,Xiaomi,-82,,
3,214,2452,Xiaomi,-82,,
3,214,2462,Vivo Y21T,-85,,
3,214,2462,Xiaomi,-77,,
3,214,2462,Vivo Y21T,-85,,
3,214,2462,Xiaomi,-77,,
3,214,2462,Vivo Y21T,-85,,
3,214,2462,Vivo Y21T,-80,,
3,214,2462,Xiaomi,-83,,
3,214,2457,Vivo Y21T,-84,,
3,214,2457,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-87,,
3,214,2462,Vivo Y21T,-88,,
3,214,2462,Xiaomi,-87,,
3,214,2462,Vivo Y21T,-88,,
3,214,2462,Xiaomi,-87,,
3,214,2462,Vivo Y21T,-88,,
3,214,2462,Xiaomi,-77,,
3,214,2462,Vivo Y21T,-93,,
3,214,2462,Xiaomi,-77,,
3,214,2462,Vivo Y21T,-93,,
3,214,2462,Xiaomi,-77,,
3,214,2462,Vivo Y21T,-93,,
3,214,2462,Xiaomi,-77,,
3,214,2462,Vivo Y21T,-93,,
3,214,2462,Xiaomi,-83,,
3,214,2457,Xiaomi,-80,,
3,214,2447,Xiaomi,,-70,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,,-57,
3,214,2457,Vivo Y21T,,-62,
3,214,2462,Xiaomi,,-57,
3,214,2457,Vivo Y21T,,-62,
3,214,2462,Xiaomi,,-57,
3,214,2447,Vivo Y21T,,-76,
3,214,2457,Vivo Y21T,,-62,
3,214,2462,Xiaomi,,-50,
3,214,2462,Vivo Y21T,,-57,
3,214,2462,Xiaomi,,-50,
3,214,2457,Vivo Y21T,,-61,
3,214,2457,Xiaomi,,-52,
3,214,2457,Vivo Y21T,,-62,
3,214,2457,Xiaomi,,-62,
3,214,2462,Xiaomi,,-50,
3,214,2462,Xiaomi,,-57,
3,214,2452,Vivo Y21T,,-67,
3,214,2462,Xiaomi,,-55,
3,214,2462,Vivo Y21T,,-60,
3,214,2462,Xiaomi,,-60,
3,214,2462,Vivo Y21T,,-60,
3,214,2462,Xiaomi,,-60,
3,214,2462,Xiaomi,,-55,
3,214,2457,Vivo Y21T,,-57,
3,214,2462,Xiaomi,,-55,
3,214,2457,Vivo Y21T,,-57,
3,214,2462,Xiaomi,,-55,
3,214,2457,Vivo Y21T,,-57,
3,214,2462,Vivo Y21T,,-59,
3,214,2462,Xiaomi,,-55,
3,214,2462,Vivo Y21T,,-59,
3,214,2462,Xiaomi,,-55,
3,214,2462,Vivo Y21T,,-59,
3,214,2457,Vivo Y21T,,-62,
3,214,2462,Xiaomi,-84,,
3,214,2457,Xiaomi,,-62,
3,214,2457,Xiaomi,,-62,
3,214,2462,Vivo Y21T,-84,,
3,214,2457,Xiaomi,-79,,
3,214,2462,Vivo Y21T,-84,,
3,214,2457,Xiaomi,-79,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2457,Xiaomi,-79,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Xiaomi,-84,,
3,214,2462,Vivo Y21T,-84,,
3,214,2457,Xiaomi,-79,,
3,214,2462,Vivo Y21T,-84,,
3,214,2462,Vivo Y21T,,-57,
3,214,2452,Xiaomi,,-60,
3,214,2462,Vivo Y21T,,-57,
3,214,2462,Xiaomi,,-51,
3,214,2462,Vivo Y21T,,-57,
3,214,2462,Xiaomi,,-51,
3,214,2462,Vivo Y21T,,-57,
3,214,2462,Xiaomi,,-51,
3,214,2447,Vivo Y21T,,-71,
3,214,2462,Xiaomi,,-61,
3,214,2462,Vivo Y21T,,-59,
3,214,2462,Xiaomi,,-61,
3,214,2462,Vivo Y21T,,-59,
3,214,2462,Xiaomi,,-61,
3,214,2457,Xiaomi,-79,,
3,214,2457,Vivo Y21T,,-62,
3,214,2462,Xiaomi,-83,,
4,214,2452,Xiaomi,,-60,
4,214,2462,Xiaomi,,-55,
4,214,2457,Vivo Y21T,,-65,
4,214,2462,Xiaomi,,-59,
4,214,2462,Vivo Y21T,,-56,
4,214,2462,Xiaomi,,-59,
4,214,2462,Vivo Y21T,,-56,
4,214,2462,Xiaomi,,-59,
4,214,2462,Vivo Y21T,,-56,
4,214,2462,Xiaomi,,-59,
4,214,2462,Vivo Y21T,,-56,
4,214,2462,Xiaomi,,-59,
4,214,2462,Vivo Y21T,,-56,
4,214,2462,Xiaomi,,-59,
4,214,2462,Vivo Y21T,,-56,
4,214,2462,Vivo Y21T,,-60,
4,214,2462,Xiaomi,,-56,
4,214,2462,Vivo Y21T,,-60,
4,214,2462,Xiaomi,,-56,
4,214,2462,Vivo Y21T,,-60,
4,214,2462,Xiaomi,,-56,
4,214,2462,Vivo Y21T,,-60,
4,214,2462,Xiaomi,,-56,
4,214,2462,Vivo Y21T,,-57,
4,214,2457,Xiaomi,,-70,
4,214,2462,Xiaomi,,-59,
4,214,2462,Vivo Y21T,,-57,
4,214,2462,Vivo Y21T,,-57,
4,214,2462,Xiaomi,,-59,
4,214,2457,Xiaomi,,-63,
4,214,2462,Vivo Y21T,,-62,
4,214,2462,Xiaomi,,-56,
4,214,2462,Vivo Y21T,,-62,
4,214,2457,Vivo Y21T,,-59,
4,214,2462,Xiaomi,,-55,
4,214,2457,Vivo Y21T,,-59,
4,214,2462,Xiaomi,,-55,
4,214,2457,Vivo Y21T,,-59,
4,214,2462,Xiaomi,,-65,
4,214,2447,Vivo Y21T,,-70,
4,214,2462,Xiaomi,,-65,
