mac_address,ssid,timestamp,cap1_channel,cap2_channel,cap3_channel,cap1_signal_strength,cap2_signal_strength,cap3_signal_strength
FA:C0:A6:71:FA:ED,AP4,14/11/2023 20:54,2462,2462,0,100,-78,100
FE:47:AD:D7:13:E2,C1,14/11/2023 20:54,2462,2462,2457,-44,-71,-67
