mac_address,ssid,channel,signal_strength,source,timestamp
6A:D2:19:82:06:D2,C2,2412,-89,cap1,16/11/2023 11:35
FE:47:AD:D7:13:E2,C1,2442,-73,cap1,16/11/2023 11:35
6A:D2:19:82:06:D2,C2,2412,-70,cap2,16/11/2023 11:35
FE:47:AD:D7:13:E2,C1,2452,-74,cap2,16/11/2023 11:35
AA:3A:2F:0C:11:A6,C11,2462,-74,cap2,16/11/2023 11:35
