"id","title","lat","lng"
"4","101","7.065735101518495","125.59647794815658"
"5","102","7.0657390942776725","125.59646654871351"
"6","103","7.065742754405358","125.59645581982265"
"7","104","7.065745915930527","125.59644492327546"
"8","105","7.065749742324647","125.59643302101861"
"9","106","7.065753568915682","125.59642145399224"
"10","107","7.065757560492965","125.59641106058753"
"11","108","7.065761220423559","125.59640100234941"
"12","109","7.065765712178866","125.59638977059001"
"13","110","7.065769289468546","125.59637765871483"
"15","112","7.065746917370012","125.59646923116908"
"16","111","7.06574309058196","125.59648113347158"
"17","113","7.065750244669239","125.59645867002588"
"18","114","7.065753405898896","125.59644827641115"
"19","115","7.065757565416769","125.59643654171019"
"20","116","7.065761724146794","125.59642480709138"
"21","117","7.065765799645061","125.59641424584775"
"22","118","7.065769459477107","125.59640385230608"
"23","119","7.06577315792147","125.59639278801124"
"24","120","7.065777899076385","125.59638080188056"
"25","121","7.065750411625028","125.59648389951334"
"26","122","7.0657543211523715","125.59647199726562"
"27","123","7.065757898540573","125.59646185511255"
"28","124","7.065761475633352","125.59645154527577"
"29","125","7.065766212160026","125.59643955903093"
"30","126","7.065770957647989","125.59642740539464"
"31","127","7.065774949619025","125.59641684425144"
"32","128","7.065778692190327","125.5964069536148"
"33","129","7.065782933856444","125.59639597342668"
"34","130","7.065786965522966","125.59638423848826"
"35","131","7.065758398029359","125.59648741991268"
"36","132","7.06576289096642","125.59647560148855"
"37","133","7.06576655119241","125.59646504028139"
"38","134","7.065770876484254","125.59645481436868"
"39","135","7.065775527908076","125.59644291176483"
"40","136","7.065780107917262","125.59643109354163"
"41","137","7.06578368471444","125.59642111905399"
"42","138","7.0657869283877766","125.59641147981515"
"43","139","7.0657919180559805","125.59639899093008"
"44","140","7.065795660725625","125.59638759168789"
"45","141","7.065768042469961","125.59649152683971"
"46","142","7.065772201593802","125.59647979218441"
"47","143","7.0657771088674854","125.59646906330272"
"48","144","7.065780519545909","125.59645783158896"
"49","145","7.065785264836779","125.59644735449768"
"50","146","7.0657891744622745","125.5964359550911"
"51","147","7.065793000659074","125.5964251424771"
"52","148","7.065795912193331","125.59641466509358"
"53","149","7.06580039991081","125.59640259484252"
"54","150","7.065804643595485","125.59639077639558"
"55","151","7.065777529999095","125.59649487985669"
"56","152","7.065781517144772","125.5964834801579"
"57","153","7.065785183476091","125.59647224867248"
"58","154","7.065789342501309","125.5964618550943"
"59","155","7.065793334669145","125.59645095868406"
"60","156","7.065797327033909","125.59643888888053"
"61","157","7.065800986767244","125.59642832768252"
"62","158","7.065804812963941","125.59641860462916"
"63","159","7.065809636267011","125.59640603189314"
"64","160","7.065814044297792","125.5963942973383"
"65","161","7.065786348326165","125.5964984002104"
"66","162","7.065790174523002","125.59648683326618"
"67","163","7.06579383484722","125.59647576909009"
"68","164","7.065797661437886","125.59646604600935"
"69","165","7.065801320974268","125.59645414381643"
"70","166","7.065806144966705","125.5964424092981"
"71","167","7.065810469667334","125.59643168051684"
"72","168","7.065813796966104","125.59642195745437"
"73","169","7.06581845469194","125.59640938473659"
"74","170","7.065823029382997","125.59639765017259"
"75","171","7.065795657475912","125.59650242328645"
"76","172","7.065798827371156","125.59649085656145"
"77","173","7.065802986396246","125.5964802953178"
"78","174","7.065806812592943","125.59646990169392"
"79","175","7.065811303658516","125.59645816712995"
"80","176","7.065815295727666","125.59644576216897"
"81","177","7.06581878929287","125.59643536861816"
"82","178","7.065821784551032","125.59642480748406"
"83","179","7.0658257780972695","125.59641290531857"
"84","180","7.065830510979664","125.59640045758277"
"85","181","7.06580946606151","125.59649471197206"
"86","182","7.065813791549925","125.59648364785988"
"87","183","7.065817451972448","125.59647358957608"
"88","184","7.065820946620848","125.5964620224949"
"89","185","7.065824606550931","125.59645095830054"
"90","186","7.065827767878562","125.59643888840561"
"91","187","7.065830763432108","125.59642832888801"
"92","188","7.065841076186699","125.5964330223611"
"93","189","7.065837086973573","125.59644391763885"
"94","1","7.06563079136235","125.59643737971784"
"95","9","7.065641271569647","125.59644131923514"
"96","2","7.065634949207227","125.59642681858377"
"97","3","7.065639108824638","125.5964159220731"
"98","4","7.065643600088779","125.59640435519286"
"99","5","7.065647759213739","125.59639312351565"
"100","6","7.065652085097561","125.59638122109446"
"101","7","7.0656565773463385","125.59636931866409"
"102","8","7.065664063771022","125.59635004502653"
"103","17","7.065652581829124","125.59644643210021"
"104","26","7.065663893663941","125.5964507906716"
"105","35","7.065676536418366","125.59645548453737"
"106","44","7.065688020821568","125.59646034614164"
"107","53","7.065700414175597","125.59646504002569"
"108","62","7.065711810127244","125.59646965005878"
"109","71","7.065722374352238","125.59647350576161"
"110","10","7.065644765136162","125.59643033893745"
"111","11","7.065648425166116","125.59641977774857"
"112","12","7.065653083386019","125.59640804312066"
"113","13","7.065656909879373","125.5963968113613"
"114","14","7.065661567902235","125.59638608250697"
"115","15","7.065666059658535","125.59637434782424"
"116","16","7.065674544272992","125.59635456658756"
"117","18","7.065656589951283","125.59643536780537"
"118","19","7.06566058802882","125.59642430351053"
"119","20","7.065664396008622","125.59641290454233"
"120","21","7.065668388571458","125.5964018404484"
"121","22","7.065672568277673","125.59639044414685"
"122","23","7.0656773722808195","125.59637971220577"
"123","24","7.065681365434399","125.59636965392195"
"124","25","7.0656858573874475","125.59635858988284"
"125","27","7.065667081679682","125.59644039529431"
"126","28","7.065671570875558","125.59642866197233"
"127","29","7.0656755673773715","125.59641827018409"
"128","30","7.065679203378921","125.59640754010603"
"129","31","7.065683194366009","125.59639781901613"
"130","32","7.065687875825895","125.59638541416474"
