mac_address,ssid,channel,signal_strength,source,timestamp
BE:7E:CC:35:1C:46,C11,2462,-72,cap3,11/11/2023 11:40
E6:4C:39:FC:36:8B,C2,2442,-65,cap1,11/11/2023 11:40
FE:47:AD:D7:13:E2,C1,2442,-53,cap1,11/11/2023 11:40
