mac_address,ssid,timestamp,cap1_channel,cap1_signal_strength,cap2_channel,cap2_signal_strength,cap3_channel,cap3_signal_strength
FE:47:AD:D7:13:E2,C1,2023-11-14 17:10:11,2452.0,-61.0,0.0,100.0,0.0,100.0
FE:47:AD:D7:13:E2,C1,2023-11-14 17:10:13,0.0,100.0,2447.0,-65.0,0.0,100.0
FE:47:AD:D7:13:E2,C1,2023-11-14 17:15:24,0.0,100.0,0.0,100.0,2442.0,-89.0
