timestamp,mac_address,ssid,cap1_channel,cap2_channel,cap3_channel,cap1_signal_strength,cap2_signal_strength,cap3_signal_strength
2023-11-15 19:10:50,56:3A:A2:F8:0C:63,C3,0.0,0.0,2442.0,100.0,100.0,-63.0
2023-11-15 19:11:05,56:3A:A2:F8:0C:63,C3,0.0,2437.0,0.0,100.0,-85.0,100.0
2023-11-15 19:11:09,56:3A:A2:F8:0C:63,C3,2447.0,0.0,0.0,-53.0,100.0,100.0
