Unique signal strength of Vivo,Average Signal Strength
-86.0,-70.25
-68.0,
-70.0,-74.0
-78.0,-66.6923076923077
-75.0,-64.63636363636364
-76.0,-71.0
-85.0,-65.5
-79.0,-64.66666666666667
-90.0,-63.0
-83.0,-63.0
-80.0,-68.33333333333333
-74.0,-64.9
-81.0,-62.22222222222222
-77.0,-64.625
-91.0,-66.0
-84.0,-60.0
-94.0,-67.0
-82.0,
-99.0,-62.0
-72.0,-66.0
