Unique signal strength of Vivo,Average Signal Strength
-67.0,-70.75
-66.0,-66.38888888888889
-93.0,-73.625
-69.0,-66.05555555555556
-77.0,-64.33333333333333
-80.0,-66.83333333333333
-70.0,-68.18181818181819
-64.0,-68.72
-62.0,-64.5
-71.0,-68.2
-65.0,-67.7
-79.0,-71.66666666666667
-63.0,-67.0
-72.0,-72.8076923076923
-75.0,-69.0
-76.0,-71.08333333333333
-73.0,-67.75
-82.0,-78.0
-68.0,-69.78571428571429
-73.5,-64.0
-84.0,-69.0
-74.0,-68.9090909090909
-78.0,-70.71428571428571
-61.0,
-60.0,-65.0
-86.0,-74.0
