Unique signal strength of Vivo,Average Signal Strength
-67.0,-73.625
-66.0,-72.8108108108108
-93.0,-78.0
-69.0,-72.14285714285714
-77.0,-74.0
-80.0,-72.6
-70.0,-69.8
-64.0,-70.72222222222223
-62.0,-72.66666666666667
-71.0,-75.44444444444444
-65.0,-71.48
-79.0,-73.11111111111111
-63.0,-69.66666666666667
-72.0,-71.63636363636364
-75.0,-72.0
-76.0,-72.66666666666667
-73.0,-73.8
-82.0,
-68.0,-75.19047619047619
-73.5,-77.0
-84.0,-77.0
-74.0,-76.0
-78.0,-73.0
-61.0,-70.0
-60.0,
-86.0,
