Unique signal strength of Vivo,Average Signal Strength
-79.0,-75.35714285714286
-71.0,-72.4
-68.0,-68.5
-74.0,-73.3
-67.0,
-72.0,-71.0
-73.0,-71.36363636363636
-78.0,-74.05
-75.0,-70.3076923076923
-80.0,-78.0
-81.0,-76.5
-76.0,-75.0
-7.0,
-82.0,-72.0
-73.5,-73.0
-77.0,-72.5
-70.0,-69.0
-83.0,-72.0
-86.0,
-69.0,
-66.0,
