Unique signal strength of Vivo,Average Signal Strength
-61.0,-56.25
-64.0,-54.44444444444444
-58.0,-54.5
-59.0,-54.0
-63.0,-54.26086956521739
-66.0,-55.0
-65.0,-54.666666666666664
-62.0,-54.15384615384615
-68.0,
-60.0,-51.142857142857146
-57.0,-51.0
