Unique signal strength of Vivo,Average Signal Strength
-86.0,
-85.0,-84.22222222222223
-84.0,-86.07692307692308
-83.0,-84.49107142857143
-89.0,-87.0
-82.0,-84.14516129032258
-93.0,
-81.0,-83.71428571428571
-79.0,-78.0
-83.5,-86.0
-82.5,
-80.0,-82.0
