mac_address,ssid,channel,signal_strength,source,timestamp
56:15:D9:99:3A:26,C2,2422,-72,cap2,2023-12-20 09:26:11
FE:47:AD:D7:13:E2,C1,2457,-69,cap2,2023-12-20 09:26:11
