mac_address,ssid,channel,signal_strength,source,timestamp
80:26:89:AF:C9:F0,CpE_Wifi,2437,-71,cap1,2023-11-29 10:59:36
80:26:89:AF:C9:F0,CpE_Wifi,2447,-73,cap1,2023-11-29 10:59:37
80:26:89:AF:C9:F0,CpE_Wifi,2427,-74,cap1,2023-11-29 10:59:38
80:26:89:AF:C9:F0,CpE_Wifi,2442,-70,cap1,2023-11-29 10:59:39
80:26:89:AF:C9:F0,CpE_Wifi,2447,-73,cap1,2023-11-29 10:59:40
80:26:89:AF:C9:F0,CpE_Wifi,2447,-73,cap1,2023-11-29 10:59:42
80:26:89:AF:C9:F0,CpE_Wifi,2427,-73,cap1,2023-11-29 10:59:43
80:26:89:AF:C9:F0,CpE_Wifi,2442,-71,cap1,2023-11-29 10:59:44
80:26:89:AF:C9:F0,CpE_Wifi,2447,-74,cap1,2023-11-29 10:59:45
80:26:89:AF:C9:F0,CpE_Wifi,2447,-74,cap1,2023-11-29 10:59:46
80:26:89:AF:C9:F0,CpE_Wifi,2432,-68,cap1,2023-11-29 10:59:47
80:26:89:AF:C9:F0,CpE_Wifi,2442,-69,cap1,2023-11-29 10:59:48
FA:C0:A6:71:FA:ED,AP4,2437,-48,cap1,2023-11-29 10:59:48
80:26:89:AF:C9:F0,CpE_Wifi,2442,-69,cap1,2023-11-29 10:59:49
FA:C0:A6:71:FA:ED,AP4,2437,-48,cap1,2023-11-29 10:59:49
C2:3B:23:3A:D4:71,C2,2462,-31,cap1,2023-11-29 11:47:28
C2:3B:23:3A:D4:71,C2,2462,-31,cap1,2023-11-29 11:47:28
C2:3B:23:3A:D4:71,C2,2462,-29,cap1,2023-11-29 11:47:29
C2:3B:23:3A:D4:71,C2,2462,-29,cap1,2023-11-29 11:47:31
C2:3B:23:3A:D4:71,C2,2462,-29,cap1,2023-11-29 11:47:32
C2:3B:23:3A:D4:71,C2,2462,-30,cap1,2023-11-29 11:47:33
FE:47:AD:D7:13:E2,C1,2452,-66,cap1,2023-11-29 11:47:34
C2:3B:23:3A:D4:71,C2,2462,-30,cap1,2023-11-29 11:47:34
FE:47:AD:D7:13:E2,C1,2442,-53,cap1,2023-11-29 11:47:35
C2:3B:23:3A:D4:71,C2,2462,-30,cap1,2023-11-29 11:47:35
FE:47:AD:D7:13:E2,C1,2452,-67,cap1,2023-11-29 11:47:36
C2:3B:23:3A:D4:71,C2,2457,-31,cap1,2023-11-29 11:47:36
FE:47:AD:D7:13:E2,C1,2452,-67,cap1,2023-11-29 11:47:37
C2:3B:23:3A:D4:71,C2,2462,-37,cap1,2023-11-29 11:47:37
