mac_address,ssid,channel,signal_strength,source,timestamp
C6:82:88:1B:74:9A,C2,2462,-91,cap3,2023-12-21 08:26:03
C6:82:88:1B:74:9A,C2,2462,-91,cap3,2023-12-21 08:26:06
FE:47:AD:D7:13:E2,C1,2462,-81,cap3,2023-12-21 08:26:06
C6:82:88:1B:74:9A,C2,2462,-91,cap3,2023-12-21 08:26:07
FE:47:AD:D7:13:E2,C1,2452,-83,cap3,2023-12-21 08:26:07
C6:82:88:1B:74:9A,C2,2462,-87,cap3,2023-12-21 08:26:08
FE:47:AD:D7:13:E2,C1,2462,-78,cap3,2023-12-21 08:26:08
FE:47:AD:D7:13:E2,C1,2462,-78,cap3,2023-12-21 08:26:09
C6:82:88:1B:74:9A,C2,2462,-87,cap3,2023-12-21 08:26:09
FE:47:AD:D7:13:E2,C1,2452,-83,cap3,2023-12-21 08:26:10
C6:82:88:1B:74:9A,C2,2462,-87,cap3,2023-12-21 08:26:10
C6:82:88:1B:74:9A,C2,2462,-87,cap3,2023-12-21 08:26:12
FE:47:AD:D7:13:E2,C1,2462,-83,cap3,2023-12-21 08:26:12
