mac_address,ssid,channel,signal_strength,source,timestamp
FE:47:AD:D7:13:E2,C1,2442,-88,cap3,2023-11-29 11:47:34
C2:3B:23:3A:D4:71,C2,2462,-83,cap3,2023-11-29 11:47:34
