ssid,mac_address,timestamp,predicted_floorid,lat,lng
1,FE:47:AD:D7:13:E2,16/11/2023 11:35,11,7.065648425166116,125.59641977774857
2,6A:D2:19:82:06:D2,16/11/2023 11:35,11,7.065648425166116,125.59641977774857
11,AA:3A:2F:0C:11:A6,16/11/2023 11:35,28,7.065671570875558,125.59642866197233
